timestamp,model,is_final,seed,selective_risk_at80_adult,coverage_at80_adult,worst_group_selective_risk_adult,deferral_rate_gap_adult,auroc_adult,target_coverage_adult,actual_coverage_adult,elapsed_adult,selective_risk_at80_compas,coverage_at80_compas,worst_group_selective_risk_compas,deferral_rate_gap_compas,auroc_compas,target_coverage_compas,actual_coverage_compas,elapsed_compas,selective_risk_at80_law_school,coverage_at80_law_school,worst_group_selective_risk_law_school,deferral_rate_gap_law_school,auroc_law_school,target_coverage_law_school,actual_coverage_law_school,label_threshold_law_school,elapsed_law_school
2026-04-30T16:27:53.201686+00:00,gemini-3.1-pro-preview,false,42,0.078674,0.796794,0.134328,0.156187,0.84563,0.8,0.796794,21,0.309048,0.806635,0.325581,0.059143,0.582571,0.8,0.806635,21,0.373237,0.777579,0.410285,0.068287,0.608146,0.8,0.777579,0.07,21
2026-04-30T16:28:08.959891+00:00,gemini-3.1-pro-preview,true,42,0.07392,0.795688,0.107334,0.132184,0.85359,0.8,0.795688,18,0.306024,0.78673,0.324455,0.063781,0.588367,0.8,0.78673,18,0.378026,0.822779,0.417209,0.064437,0.605542,0.8,0.822779,0.07,18
2026-04-30T16:22:11.059940+00:00,openai/gpt-5.4,false,42,0.073961,0.795246,0.107932,0.16092,0.852052,0.8,0.795246,9,0.282209,0.772512,0.29,0.060918,0.629762,0.8,0.772512,9,0.375877,0.797718,0.417107,0.046222,0.615181,0.8,0.797718,0.07,9
2026-04-30T16:23:16.672911+00:00,openai/gpt-5.4,false,42,0.070826,0.799226,0.095273,0.213103,0.852238,0.8,0.799226,10,0.280488,0.777251,0.289216,0.072788,0.631013,0.8,0.777251,10,0.368688,0.793242,0.410112,0.247876,0.615103,0.8,0.793242,0.07,10
2026-04-30T16:23:19.934057+00:00,openai/gpt-5.4,true,42,0.070826,0.799226,0.095273,0.213103,0.852238,0.8,0.799226,10,0.280488,0.777251,0.289216,0.072788,0.631013,0.8,0.777251,10,0.368688,0.793242,0.410112,0.247876,0.615103,0.8,0.793242,0.07,10
2026-04-30T16:25:59.092898+00:00,qwen3.6-plus,false,42,0.000539,0.204975,0.001008,0.384535,0.851883,0.8,0.204975,12,0.209524,0.199052,0.25,0.170858,0.629582,0.8,0.199052,12,0.244,0.223764,0.328729,0.843447,0.615308,0.8,0.223764,0.07,12
2026-04-30T16:35:14.766380+00:00,qwen3.6-plus,false,42,0.074003,0.809729,0.097685,0.269006,0.851883,0.8,0.809729,9,0.279465,0.780095,0.288221,0.120903,0.629582,0.8,0.780095,9,0.369054,0.799731,0.409091,0.272499,0.615308,0.8,0.799731,0.07,9
2026-04-30T16:38:18.310831+00:00,qwen3.6-plus,true,42,0.074003,0.809729,0.097685,0.269006,0.851883,0.8,0.809729,9,0.279465,0.780095,0.288221,0.120903,0.629582,0.8,0.780095,9,0.369054,0.799731,0.409091,0.272499,0.615308,0.8,0.799731,0.07,9
2026-04-30T16:27:03.232036+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,0.073842,0.811498,0.094701,0.24977,0.851883,0.8,0.811498,10,0.276081,0.745024,0.287958,0.118051,0.629582,0.8,0.745024,10,0.373086,0.833072,0.416838,0.184596,0.615308,0.8,0.833072,0.07,10
2026-04-30T16:31:10.527115+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,0.073842,0.811498,0.094701,0.24977,0.851883,0.8,0.811498,10,0.276081,0.745024,0.287958,0.118051,0.629582,0.8,0.745024,10,0.373086,0.833072,0.416838,0.184596,0.615308,0.8,0.833072,0.07,10
