timestamp,model,is_final,seed,best_fid_small,best_fid_medium,best_fid_large,best_fid,elapsed_train_medium,elapsed_train_small,fid,fid_medium,fid_small
2026-04-21T18:09:52.850715+00:00,deepseek-reasoner,false,42,16.4900,NaN,21.62,,14,13,,,
2026-04-21T21:10:05.787407+00:00,deepseek-reasoner,false,42,18.19,9.05,,,5826,4767,,,
2026-04-22T01:29:37.723490+00:00,deepseek-reasoner,false,42,16.74,8.73,,,8440,6903,,,
2026-04-22T01:29:37.724201+00:00,deepseek-reasoner,true,42,16.74,8.73,6.97,,,,,,
2026-04-30T11:54:37.026664+00:00,claude-opus-4.6:nobudget,false,42,16.63,9.37,,9.37,5985,4903,9.43,9.43,16.51
2026-04-30T14:42:38.014896+00:00,claude-opus-4.6:nobudget,false,42,17.36,9.59,,9.59,5437,4414,9.54,9.54,17.23
2026-04-30T18:46:48.199733+00:00,claude-opus-4.6:nobudget,false,42,17.18,9.37,,9.37,8678,5801,9.33,9.33,17.06
2026-04-30T18:46:48.202950+00:00,claude-opus-4.6:nobudget,true,42,16.63,9.37,,9.37,5985,4903,9.43,9.43,16.51
2026-04-30T05:50:19.000000+00:00,gemini-3.1-pro-preview:nobudget,false,42,18.71,,,,,,,,18.71
2026-04-30T12:10:26.720891+00:00,gemini-3.1-pro-preview:nobudget,false,42,15.28,8.15,,8.15,6594,5000,8.07,8.07,15.33
2026-04-30T15:25:34.838512+00:00,gemini-3.1-pro-preview:nobudget,false,42,15.46,7.99,,7.99,6628,4943,7.98,7.98,15.48
2026-04-30T15:25:44.711526+00:00,gemini-3.1-pro-preview:nobudget,true,42,15.28,8.15,,8.15,6594,5000,8.07,8.07,15.33
2026-04-30T05:50:09.000000+00:00,openai/gpt-5.4:nobudget,false,42,28.83,,,,,,,,28.83
2026-04-30T17:39:06.574177+00:00,openai/gpt-5.4:nobudget,false,42,16.76,9.9,,9.9,6740,5084,9.86,9.86,16.59
2026-04-30T20:25:35.239200+00:00,openai/gpt-5.4:nobudget,false,42,17.36,9.59,,9.59,5418,4409,9.54,9.54,17.23
2026-04-30T20:25:37.672996+00:00,openai/gpt-5.4:nobudget,true,42,16.76,9.9,,9.9,6740,5084,9.86,9.86,16.59
2026-04-30T17:11:34.597064+00:00,qwen3.6-plus:nobudget,false,42,17.04,9.49,,9.49,5691,4409,9.64,9.64,16.97
2026-04-30T19:46:18.625829+00:00,qwen3.6-plus:nobudget,false,42,17.19,9.73,,9.73,5046,3906,9.86,9.86,17.21
2026-04-30T22:38:14.537162+00:00,qwen3.6-plus:nobudget,false,42,17.04,8.47,,8.47,5059,4450,8.43,8.43,16.97
2026-04-30T22:38:14.539948+00:00,qwen3.6-plus:nobudget,true,42,17.04,8.47,,8.47,5059,4450,8.43,8.43,16.97
2026-04-29T21:05:53.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,17.07,9.41,,,,,,9.50,17.07
2026-04-30T05:26:22.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,16.84,,,,,,,,16.84
2026-04-30T05:49:51.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,19.42,,,,,,,,19.42
2026-04-29T21:05:53.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,true,42,17.07,9.41,,,,,,9.50,17.07
2026-04-29T18:17:41.000000+00:00,claude-opus-4.6:eng,false,42,17.24,9.65,,,,,,9.65,17.24
2026-04-29T21:28:34.000000+00:00,claude-opus-4.6:eng,false,42,,,,,,,,,
2026-04-29T23:57:10.000000+00:00,claude-opus-4.6:eng,false,42,17.18,9.76,,,,,,9.87,17.18
2026-04-29T18:17:41.000000+00:00,claude-opus-4.6:eng,true,42,17.24,9.65,,,,,,9.65,17.24
2026-04-29T18:16:52.000000+00:00,gemini-3.1-pro-preview:eng,false,42,,,,,,,,,
2026-04-29T18:19:51.000000+00:00,gemini-3.1-pro-preview:eng,false,42,14.79,8.10,,,,,,8.10,14.79
,gemini-3.1-pro-preview:eng,false,42,,,,,,,,,
2026-04-29T18:19:51.000000+00:00,gemini-3.1-pro-preview:eng,true,42,14.79,8.10,,,,,,8.10,14.79
2026-04-29T18:16:27.000000+00:00,openai/gpt-5.4:eng,false,42,,,,,,,,,
2026-04-29T18:18:44.000000+00:00,openai/gpt-5.4:eng,false,42,17.43,9.91,,,,,,9.97,17.43
2026-04-29T21:45:33.000000+00:00,openai/gpt-5.4:eng,false,42,,,,,,,,,
2026-04-29T18:18:44.000000+00:00,openai/gpt-5.4:eng,true,42,17.43,9.91,,,,,,9.97,17.43
2026-04-29T18:19:22.000000+00:00,qwen3.6-plus:eng,false,42,16.96,9.58,,,,,,9.67,16.96
2026-04-29T22:23:00.000000+00:00,qwen3.6-plus:eng,false,42,17.04,9.49,,,,,,9.69,17.04
2026-04-30T02:13:55.000000+00:00,qwen3.6-plus:eng,false,42,17.04,,,,,,,,17.04
2026-04-29T22:23:00.000000+00:00,qwen3.6-plus:eng,true,42,17.04,9.49,,,,,,9.69,17.04
2026-04-30T08:15:16.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
2026-04-30T08:18:03.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
2026-04-30T08:20:52.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,true,42,,,,,,,,,
