timestamp,model,is_final,seed,fid_sd15,fid_sd20,fid_sdxl,elapsed_sd15,elapsed_sd20,fid
2026-05-03T09:35:07.724627+00:00,openai/gpt-5.4:ctx_baseline,false,42,,,,,,
2026-05-03T10:03:28.529887+00:00,openai/gpt-5.4:ctx_baseline,false,42,37.1294,31.2475,,808,779,31.2475
2026-05-03T11:44:07.561264+00:00,openai/gpt-5.4:ctx_baseline,false,42,28.4134,23.3264,,854,769,23.3264
2026-05-03T11:44:12.948790+00:00,openai/gpt-5.4:ctx_baseline,true,42,28.4134,23.3264,,854,769,23.3264
2026-05-03T10:03:46.964554+00:00,qwen3.6-plus:ctx_baseline,false,42,,,,,,
2026-05-03T11:30:52.540459+00:00,qwen3.6-plus:ctx_baseline,false,42,53.5484,46.4471,67.3786,803,755,67.3786
2026-05-03T12:57:11.668582+00:00,qwen3.6-plus:ctx_baseline,false,42,29.5518,23.9685,62.7189,819,774,62.7189
2026-05-03T12:58:18.563644+00:00,qwen3.6-plus:ctx_baseline,true,42,29.5518,23.9685,62.7189,819,774,62.7189
,deepseek-reasoner:ctx_baseline,false,42,,,,,,
,deepseek-reasoner:ctx_baseline,false,42,,,,,,
,deepseek-reasoner:ctx_baseline,false,42,,,,,,
,deepseek-reasoner:ctx_baseline,true,42,,,,,,
2026-05-02T19:15:24.024621+00:00,claude-opus-4-6:web,false,42,27.6414,23.2234,,804,769,23.2234
2026-05-02T22:56:53.069480+00:00,claude-opus-4-6:web,false,42,27.6331,23.2444,52.0068,800,769,52.0068
2026-05-03T01:51:26.673327+00:00,claude-opus-4-6:web,false,42,27.2873,22.9859,37.6963,835,754,37.6963
2026-05-03T01:51:30.460577+00:00,claude-opus-4-6:web,true,42,27.2873,22.9859,37.6963,835,754,37.6963
2026-05-02T21:16:42.654456+00:00,gemini/gemini-3.1-pro-preview:web,false,42,27.7495,23.9767,38.5952,799,769,38.5952
2026-05-03T00:10:58.740026+00:00,gemini/gemini-3.1-pro-preview:web,false,42,27.8216,23.4554,37.7775,794,794,37.7775
2026-05-03T03:04:55.809799+00:00,gemini/gemini-3.1-pro-preview:web,false,42,28.6432,24.9327,41.2807,800,769,41.2807
2026-05-03T03:05:08.150498+00:00,gemini/gemini-3.1-pro-preview:web,true,42,27.8216,23.4554,37.7775,794,794,37.7775
2026-05-03T13:46:22.882608+00:00,openai/gpt-5.4:web,false,42,29.2112,25.0374,,804,784,25.0374
2026-05-03T15:11:26.038259+00:00,openai/gpt-5.4:web,false,42,28.8186,24.4336,,790,754,24.4336
2026-05-03T15:40:12.815233+00:00,openai/gpt-5.4:web,false,42,25.8435,22.8246,,738,734,22.8246
2026-05-03T15:40:24.273464+00:00,openai/gpt-5.4:web,true,42,25.8435,22.8246,,738,734,22.8246
2026-05-02T19:28:52.231261+00:00,qwen3.6-plus:web,false,42,30.7751,24.505,,834,773,24.505
2026-05-02T22:57:09.209936+00:00,qwen3.6-plus:web,false,42,,,,,,
2026-05-03T14:44:51.779062+00:00,qwen3.6-plus:web,false,42,29.4888,24.4921,339.9212,810,769,339.9212
2026-05-03T16:00:04.361513+00:00,qwen3.6-plus:web,true,42,,,,,,
,deepseek-reasoner:web,false,42,,,,,,
,deepseek-reasoner:web,false,42,,,,,,
,deepseek-reasoner:web,false,42,,,,,,
,deepseek-reasoner:web,true,42,,,,,,
