timestamp,model,is_final,seed,val_loss_gpt-345m,wikitext2_ppl_gpt-345m,lambada_ppl_gpt-345m,elapsed_gpt-345m,arc_easy_lm-eval-345m,hellaswag_lm-eval-345m,piqa_lm-eval-345m,winogrande_lm-eval-345m,elapsed_lm-eval-345m,niah_pass_1280_niah-eval-345m,niah_rank_1280_niah-eval-345m,niah_pass_1536_niah-eval-345m,niah_rank_1536_niah-eval-345m,niah_pass_2k_niah-eval-345m,niah_rank_2k_niah-eval-345m,elapsed_niah-eval-345m
2026-04-23T08:06:13.114641+00:00,baseline:nested_momentum,false,42,,,,,,,,,,,,,,,,
2026-04-23T08:25:12.559043+00:00,baseline:linear_memory,false,42,,,,,,,,,,,,,,,,
2026-04-23T08:34:47.170657+00:00,baseline:titans_default,false,42,,,,,,,,,,,,,,,,
2026-04-24T02:17:13.836614+00:00,baseline:contrastive_replay,false,42,,,,,,,,,,,,,,,,
2026-04-24T02:39:25.000803+00:00,baseline:titans_default,false,42,,,,,,,,,,,,,,,,
2026-04-24T17:01:39.000560+00:00,baseline:linear_memory,false,42,2.2715,44.24,67.25,44630,54.17,33.98,64.04,52.09,1394,,,,,,,
2026-04-24T18:00:41.380729+00:00,baseline:titans_default,false,42,2.2723,44.02,65.59,49305,56.94,34.21,65.67,50.91,1724,,,,,,,
2026-04-24T19:41:45.158456+00:00,baseline:contrastive_replay,false,42,2.2694,45.66,67.1,57117,56.69,34.32,65.13,51.93,2066,,,,,,,
2026-04-25T02:31:40.616710+00:00,baseline:nested_momentum,false,42,2.2743,44.34,66.55,49912,56.06,34.09,63.44,51.78,1700,,,,,,,
2026-04-25T09:58:07.263574+00:00,baseline:nested_momentum,false,42,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,1674.175,33
2026-04-25T09:58:07.271210+00:00,baseline:titans_default,false,42,,,,,,,,,,1.0,1.0,0.975,1.0,0.05,10.3,30
2026-04-25T09:59:09.798131+00:00,baseline:linear_memory,false,42,,,,,,,,,,1.0,1.0,0.0,470.0,0.0,2062.25,26
2026-04-25T09:59:10.809816+00:00,baseline:contrastive_replay,false,42,,,,,,,,,,0.975,1.0,0.875,1.175,0.025,1001.575,45
2026-04-25T18:30:01.157745+00:00,gpt-5.4,false,42,,,,,,,,,,,,,,,,
2026-04-25T23:54:58.870686+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-25T23:55:49.346105+00:00,gpt-5.4,false,42,,,,,,,,,,,,,,,,
2026-04-25T23:56:35.158984+00:00,gpt-5.4,true,42,,,,,,,,,,,,,,,,
2026-04-26T00:06:01.083313+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-26T00:46:01.205607+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-26T00:46:17.544024+00:00,gemini-3.1-pro-preview,true,42,,,,,,,,,,,,,,,,
2026-04-26T08:44:38.275441+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-26T09:53:39.868432+00:00,claude-opus-4.6,false,42,,,,,,,,,,,,,,,,
2026-04-26T15:47:05.840416+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-26T17:12:35.068501+00:00,gemini-3.1-pro-preview,false,42,,,,,,,,,,,,,,,,
2026-04-26T17:13:02.983696+00:00,gemini-3.1-pro-preview,true,42,,,,,,,,,,,,,,,,
2026-04-26T22:12:29.842700+00:00,gpt-5.4,false,42,,,,,,,,,,,,,,,,
2026-04-27T19:42:23.016157+00:00,gpt-5.4,false,42,,,,,,,,,,,,,,,,
2026-05-03T08:11:32.822505+00:00,gpt-5.4,true,42,,,,,,,,,,,,,,,,
2026-04-26T17:08:54.361240+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,,,,
2026-04-26T14:23:57.746060+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,
2026-04-27T07:54:13.948783+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,,,,,,,,,,,,,,,,
2026-04-30T14:33:32.030446+00:00,baseline:deep_momentum,false,42,,,,,,,,,,,,,,,,
2026-04-30T14:44:28.258720+00:00,baseline:linear_memory,false,42,,,,176,54.17,33.98,64.04,52.09,1413,1.0,1.0,0.0,470.0,0.0,2062.25,26
2026-04-30T14:59:30.791903+00:00,baseline:titans_default,false,42,,,,264,56.94,34.21,65.67,50.91,1679,1.0,1.0,0.975,1.0,0.05,10.3,32
2026-04-30T15:06:33.587781+00:00,baseline:fast_weights_hebbian,false,42,,,,,,,,,,,,,,,,
2026-04-30T17:51:05.121416+00:00,baseline:titans_default,false,42,,,,,,,,,,,,,,,,
2026-04-30T17:51:05.129969+00:00,baseline:linear_memory,false,42,,,,,,,,,,,,,,,,
2026-05-01T12:54:08.170487+00:00,baseline:deep_momentum,false,42,,,,,,,,,,,,,,,,
2026-05-01T13:56:19.813947+00:00,baseline:deep_momentum,false,42,,,,,,,,,,,,,,,,
2026-05-01T14:47:14.684440+00:00,baseline:vanilla,false,42,2.2548,43.03,67.08,29354,55.81,34.29,64.47,49.17,634,0.975,1.0,0.95,1.0,0.925,1.0,12
2026-05-01T21:09:26.141081+00:00,baseline:linear_memory,false,42,2.239,43.08,64.33,57304,56.36,34.5,64.91,49.88,1571,0.975,1.0,0.95,1.0,0.775,1.0,23
2026-05-01T21:22:23.768463+00:00,baseline:fast_weights_hebbian,false,42,2.2645,44.29,67.85,51784,54.63,33.67,65.07,49.72,1260,0.975,1.0,0.95,1.0,0.875,1.0,19
2026-05-01T23:52:25.217220+00:00,baseline:titans_default,false,42,2.2497,43.13,66.47,66691,56.57,34.72,64.85,52.8,1853,0.925,1.0,0.85,1.0,0.45,1.0,26
