timestamp,model,is_final,seed,normalized_score_mon_hum_neu,normalized_score_val_hum_neu,normalized_score_ran_hum_neu,normalized_score_mon_hum_neu_std,normalized_score_val_hum_neu_std,normalized_score_ran_hum_neu_std,elapsed_mon-hum-neu,elapsed_val-hum-neu,elapsed_ran-hum-neu,elapsed_mon-hum-neu_std,elapsed_val-hum-neu_std,elapsed_ran-hum-neu_std
2026-04-24T18:13:33.951559+00:00,gpt-5.4,false,mean,0.010224333333333334,0.009152666666666667,0.05885966666666667,0.004681163566180243,0.004841033395188814,0.01485849091709294,83806.0,77365.66666666667,70875.66666666667,0.0,5577.720890590827,6275.797426091232
2026-04-26T16:17:12.562601+00:00,claude-opus-4.6,false,42,0.012013,0.013697,0.053842,,,,42273,42273,46199,,,
2026-04-26T16:17:12.585635+00:00,claude-opus-4.6,false,123,0.007104,0.012533,0.064755,,,,42273,45852,46199,,,
2026-04-26T16:17:12.594287+00:00,claude-opus-4.6,false,456,0.022463,0.011757,0.035426,,,,42273,46059,44094,,,
2026-04-26T16:17:12.595464+00:00,claude-opus-4.6,false,mean,0.01386,0.012662333333333334,0.051341,0.007844314947782247,0.0009764452536283507,0.014823589679966182,42273.0,44728.0,45497.333333333336,0.0,2128.6101099074017,1215.3223166441621
2026-04-27T04:02:22.094961+00:00,deepseek-reasoner,false,42,0.000901,0.001255,0.011735,,,,46851,47132,46825,,,
2026-04-27T04:02:22.098627+00:00,deepseek-reasoner,false,123,0.002878,0.00145,0.01585,,,,46851,46825,46825,,,
2026-04-27T04:02:22.119707+00:00,deepseek-reasoner,false,456,0.003041,0.002293,0.016262,,,,47132,46825,42312,,,
2026-04-27T04:02:22.121845+00:00,deepseek-reasoner,false,mean,0.0022733333333333334,0.001666,0.014615666666666666,0.0011912666927826586,0.0005516819736043583,0.002503221191451792,46944.666666666664,46927.333333333336,45320.666666666664,162.23542564228484,177.2465326412151,2605.581764852781
2026-04-27T15:37:08.556389+00:00,gemini-3.1-pro-preview,false,42,0.032348,0.021959,0.100637,,,,45610,45610,44003,,,
2026-04-27T15:37:08.558526+00:00,gemini-3.1-pro-preview,false,123,0.015489,0.018013,0.073689,,,,45610,44003,44003,,,
2026-04-27T15:37:08.570517+00:00,gemini-3.1-pro-preview,false,456,0.021301,0.024776,0.092506,,,,45610,44003,41628,,,
2026-04-27T15:37:08.595319+00:00,gemini-3.1-pro-preview,false,mean,0.023046,0.021582666666666667,0.08894400000000001,0.008563891580350607,0.003397169753387859,0.013822610426399205,45610.0,44538.666666666664,43211.333333333336,0.0,927.8018825877286,1371.206889325361
2026-04-27T15:37:15.829475+00:00,gemini-3.1-pro-preview,true,42,0.032348,0.021959,0.100637,,,,45610,45610,44003,,,
2026-04-27T15:37:15.833292+00:00,gemini-3.1-pro-preview,true,123,0.015489,0.018013,0.073689,,,,45610,44003,44003,,,
2026-04-27T15:37:15.850680+00:00,gemini-3.1-pro-preview,true,456,0.021301,0.024776,0.092506,,,,45610,44003,41628,,,
2026-04-27T15:37:15.851922+00:00,gemini-3.1-pro-preview,true,mean,0.023046,0.021582666666666667,0.08894400000000001,0.008563891580350607,0.003397169753387859,0.013822610426399205,45610.0,44538.666666666664,43211.333333333336,0.0,927.8018825877286,1371.206889325361
2026-04-28T05:07:21.960012+00:00,deepseek-reasoner,false,42,,,,,,,,,,,,
2026-04-28T05:07:21.961389+00:00,deepseek-reasoner,false,123,,,,,,,,,,,,
2026-04-28T05:07:21.968748+00:00,deepseek-reasoner,false,456,,,,,,,,,,,,
