timestamp,model,is_final,seed,final_score_longbench-hotpotqa,final_score_longbench-passage-retrieval,final_score_longbench-repobench,final_score_needlebench-niah,final_score_gsm8k,effective_kv_bits_longbench-hotpotqa,effective_kv_bits_longbench-passage-retrieval,effective_kv_bits_longbench-repobench,effective_kv_bits_needlebench-niah,effective_kv_bits_gsm8k,kv_compression_ratio_longbench-hotpotqa,kv_compression_ratio_longbench-passage-retrieval,kv_compression_ratio_longbench-repobench,kv_compression_ratio_needlebench-niah,kv_compression_ratio_gsm8k,runtime_seconds_longbench-hotpotqa,runtime_seconds_longbench-passage-retrieval,runtime_seconds_longbench-repobench,runtime_seconds_needlebench-niah,runtime_seconds_gsm8k,elapsed_longbench-hotpotqa,elapsed_longbench-passage-retrieval,elapsed_longbench-repobench,elapsed_needlebench-niah,elapsed_gsm8k
2026-05-02T15:54:45.469744+00:00,claude-opus-4-6,false,42,37.055398,58.861111,47.52,65.306122,32.37301,4.416667,4.416667,4.416667,4.416667,4.416667,3.622642,3.622642,3.622642,3.622642,3.622642,323.818085,299.175657,726.39324,379.243271,7233.12714,333,307,734,387,7241
2026-05-02T18:28:06.388964+00:00,claude-opus-4-6,false,42,36.736807,59.694444,47.63,65.306122,32.903715,4.385417,4.385417,4.385417,4.385417,4.385417,3.648456,3.648456,3.648456,3.648456,3.648456,333.58744,313.735228,725.415024,376.835911,7313.509351,342,323,735,385,7322
2026-05-02T18:28:12.211004+00:00,claude-opus-4-6,true,42,36.736807,59.694444,47.63,65.306122,32.903715,4.385417,4.385417,4.385417,4.385417,4.385417,3.648456,3.648456,3.648456,3.648456,3.648456,333.58744,313.735228,725.415024,376.835911,7313.509351,342,323,735,385,7322
2026-05-02T18:49:09.878545+00:00,openai/gpt-5.4,false,42,38.42391,54.509668,45.046667,2.040816,1.21304,2.951335,2.951335,2.951335,2.951335,2.820719,5.421276,5.421276,5.421276,5.421276,5.672312,656.517059,612.900918,1549.170957,767.306348,14630.986746,665,622,1558,776,14640
2026-05-02T18:49:12.675392+00:00,openai/gpt-5.4,true,42,36.675692,58.361111,47.656667,65.306122,30.25019,3.480089,3.480089,3.480089,3.480089,3.250597,4.597584,4.597584,4.597584,4.597584,4.922173,634.715185,600.775682,1457.271895,744.057743,14658.796494,644,610,1466,753,14668
2026-05-02T19:01:46.397090+00:00,qwen3.6-plus,false,42,37.432881,49.560859,40.553333,0.0,0.833965,4.488281,4.488281,4.488281,4.396918,4.396918,3.564839,3.564839,3.564839,3.638912,3.638912,548.516442,498.500105,1379.722691,574.933086,12053.428001,558,508,1389,584,12063
2026-05-02T19:09:10.812764+00:00,gemini/gemini-3.1-pro-preview,false,42,37.264342,60.666667,47.443333,64.62585,33.358605,4.375,4.375,4.375,4.09375,4.09375,3.657143,3.657143,3.657143,3.908397,3.908397,437.21536,413.859742,965.725026,530.967442,11403.441791,446,423,975,540,11413
2026-05-02T19:09:32.734755+00:00,gemini/gemini-3.1-pro-preview,true,42,38.335399,61.333333,47.91,65.306122,33.58605,4.375,4.375,4.375,4.09375,4.09375,3.657143,3.657143,3.657143,3.908397,3.908397,483.199586,450.979447,1073.844229,583.987034,12282.328522,492,458,1081,592,12292
2026-05-02T19:11:13.023871+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,37.912773,60.888889,45.533333,42.857143,40.636846,5.198242,5.198242,5.198242,5.198242,5.198242,3.077964,3.077964,3.077964,3.077964,3.077964,391.366571,366.222233,826.522649,502.367734,10413.287348,400,376,836,513,10424
2026-05-02T19:11:38.841907+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,36.994134,60.956349,46.643333,51.020408,35.55724,4.140625,4.140625,4.140625,4.140625,4.140625,3.864151,3.864151,3.864151,3.864151,3.864151,335.00074,307.476529,761.34815,390.607173,8085.967147,344,316,770,399,8094
2026-05-03T02:06:21.914632+00:00,qwen3.6-plus,false,42,37.238254,53.246032,43.023333,2.721088,1.440485,4.375,4.375,4.375,4.375,4.1875,3.657143,3.657143,3.657143,3.657143,3.820896,547.437523,496.816759,1375.556277,565.112085,12003.261149,557,506,1385,575,12014
2026-05-03T06:03:50.317811+00:00,qwen3.6-plus,true,42,37.238254,53.246032,43.023333,2.721088,1.440485,4.375,4.375,4.375,4.375,4.1875,3.657143,3.657143,3.657143,3.657143,3.820896,547.437523,496.816759,1375.556277,565.112085,12003.261149,557,506,1385,575,12014
