timestamp,model,is_final,seed,success_rate_tool_hang_ph,success_rate_can_ph,success_rate_square_ph,elapsed_square_ph,elapsed_tool_hang_ph,elapsed_can_ph,success_rate_tool_hang_ph_std,success_rate_can_ph_std,success_rate_square_ph_std,elapsed_can_ph_std,elapsed_square_ph_std,elapsed_tool_hang_ph_std
2026-04-21T16:03:53.904999+00:00,deepseek-reasoner,false,123,0.04,0.84,0.7,15299,24873,12352,,,,,,
2026-04-21T16:03:53.906519+00:00,deepseek-reasoner,false,456,0.04,0.9,0.6,15299,24873,12352,,,,,,
2026-04-21T16:03:53.907990+00:00,deepseek-reasoner,false,mean,0.05333333333333334,0.8933333333333333,0.6533333333333333,15299.0,24873.0,12230.666666666666,0.023094010767585032,0.05033222956847166,0.05033222956847166,210.15549798502377,0.0,0.0
2026-04-21T18:34:47.974026+00:00,deepseek-reasoner,false,42,0.08,0.94,0.66,15299,24873,11988,,,,,,
2026-04-21T18:34:47.976008+00:00,deepseek-reasoner,false,123,0.04,0.84,0.7,15299,24873,12352,,,,,,
2026-04-21T18:34:47.977486+00:00,deepseek-reasoner,false,456,0.04,0.9,0.6,15299,24873,12352,,,,,,
2026-04-21T18:34:47.978918+00:00,deepseek-reasoner,false,mean,0.05333333333333334,0.8933333333333333,0.6533333333333333,15299.0,24873.0,12230.666666666666,0.023094010767585032,0.05033222956847166,0.05033222956847166,210.15549798502377,0.0,0.0
2026-04-25T18:40:29.115346+00:00,deepseek-reasoner,false,42,0.08,0.96,0.7,17358,28502,13102,,,,,,
2026-04-25T18:40:29.120104+00:00,deepseek-reasoner,false,123,0.08,0.88,0.72,17358,28563,13624,,,,,,
2026-04-25T18:40:29.122078+00:00,deepseek-reasoner,false,456,0.08,0.9,0.64,17358,28563,13624,,,,,,
2026-04-25T18:40:29.124038+00:00,deepseek-reasoner,false,mean,0.08,0.9133333333333333,0.6866666666666666,17358.0,28542.666666666668,13450.0,0.0,0.04163331998932263,0.04163331998932263,301.37684051698466,0.0,35.21836642056717
2026-04-25T18:40:40.171729+00:00,deepseek-reasoner,true,42,0.08,0.96,0.7,17358,28502,13102,,,,,,
2026-04-25T18:40:40.175759+00:00,deepseek-reasoner,true,123,0.08,0.88,0.72,17358,28563,13624,,,,,,
2026-04-25T18:40:40.177738+00:00,deepseek-reasoner,true,456,0.08,0.9,0.64,17358,28563,13624,,,,,,
2026-04-25T18:40:40.179690+00:00,deepseek-reasoner,true,mean,0.08,0.9133333333333333,0.6866666666666666,17358.0,28542.666666666668,13450.0,0.0,0.04163331998932263,0.04163331998932263,301.37684051698466,0.0,35.21836642056717
2026-04-21T16:04:00.037987+00:00,gemini-3.1-pro-preview,false,42,0.06,,0.58,12459,25571,12,,,,,,
2026-04-21T16:04:00.042266+00:00,gemini-3.1-pro-preview,false,123,0.06,,0.64,12674,25571,12,,,,,,
2026-04-21T16:04:00.044074+00:00,gemini-3.1-pro-preview,false,456,0.04,0.96,,12674,25571,7358,,,,,,
2026-04-21T16:04:00.045795+00:00,gemini-3.1-pro-preview,false,mean,0.05333333333333333,0.96,0.61,12602.333333333334,25571.0,2460.6666666666665,0.011547005383792514,,0.04242640687119289,4241.215077466991,124.13030787576955,0.0
2026-04-21T18:34:46.880666+00:00,gemini-3.1-pro-preview,false,42,0.06,,0.58,12459,25571,12,,,,,,
2026-04-21T18:34:46.883540+00:00,gemini-3.1-pro-preview,false,123,0.06,,0.64,12674,25571,12,,,,,,
2026-04-21T18:34:46.884904+00:00,gemini-3.1-pro-preview,false,456,0.04,0.96,,12674,25571,7358,,,,,,
2026-04-21T18:34:46.886485+00:00,gemini-3.1-pro-preview,false,mean,0.05333333333333333,0.96,0.61,12602.333333333334,25571.0,2460.6666666666665,0.011547005383792514,,0.04242640687119289,4241.215077466991,124.13030787576955,0.0
2026-04-25T21:11:53.141187+00:00,gemini-3.1-pro-preview,false,42,0.02,0.92,0.7,16646,28800,13489,,,,,,
2026-04-25T21:11:53.146502+00:00,gemini-3.1-pro-preview,false,123,0.06,0.9,0.72,17270,,13844,,,,,,
2026-04-25T21:11:53.148557+00:00,gemini-3.1-pro-preview,false,456,0.04,0.92,0.66,17270,,13844,,,,,,
2026-04-25T21:11:53.150552+00:00,gemini-3.1-pro-preview,false,mean,0.04,0.9133333333333333,0.6933333333333334,17062.0,28800.0,13725.666666666666,0.02,0.011547005383792526,0.030550504633038898,204.95934556231714,360.26656797432645,
2026-04-25T21:12:07.583962+00:00,gemini-3.1-pro-preview,true,42,0.02,0.92,0.7,16646,28800,13489,,,,,,
2026-04-25T21:12:07.586817+00:00,gemini-3.1-pro-preview,true,123,0.06,0.9,0.72,17270,,13844,,,,,,
2026-04-25T21:12:07.588819+00:00,gemini-3.1-pro-preview,true,456,0.04,0.92,0.66,17270,,13844,,,,,,
2026-04-25T21:12:07.590822+00:00,gemini-3.1-pro-preview,true,mean,0.04,0.9133333333333333,0.6933333333333334,17062.0,28800.0,13725.666666666666,0.02,0.011547005383792526,0.030550504633038898,204.95934556231714,360.26656797432645,
2026-04-21T16:03:53.331066+00:00,gpt-5.4,false,42,0.08,,0.68,15363,20202,10,,,,,,
2026-04-21T16:03:53.338236+00:00,gpt-5.4,false,123,,0.88,0.6,15364,20202,9498,,,,,,
2026-04-21T16:03:53.339811+00:00,gpt-5.4,false,456,,0.9,0.56,15364,20202,9499,,,,,,
2026-04-21T16:03:53.341283+00:00,gpt-5.4,false,mean,0.08,0.89,0.6133333333333334,15363.666666666666,20202.0,6335.666666666667,,0.014142135623730963,0.06110100926607787,5478.188052023528,0.5773502691896257,0.0
2026-04-21T18:34:46.003866+00:00,gpt-5.4,false,42,0.08,,0.68,15363,20202,10,,,,,,
2026-04-21T18:34:46.006736+00:00,gpt-5.4,false,123,,0.88,0.6,15364,20202,9498,,,,,,
2026-04-21T18:34:46.008118+00:00,gpt-5.4,false,456,,0.9,0.56,15364,20202,9499,,,,,,
2026-04-21T18:34:46.009491+00:00,gpt-5.4,false,mean,0.08,0.89,0.6133333333333334,15363.666666666666,20202.0,6335.666666666667,,0.014142135623730963,0.06110100926607787,5478.188052023528,0.5773502691896257,0.0
2026-04-25T18:15:44.935533+00:00,gpt-5.4,false,42,0.04,0.96,0.56,16871,29020,13303,,,,,,
2026-04-25T18:15:44.939913+00:00,gpt-5.4,false,123,0.0,0.9,0.68,16871,,13780,,,,,,
2026-04-25T18:15:44.941777+00:00,gpt-5.4,false,456,0.08,0.88,0.48,17002,,14161,,,,,,
2026-04-25T18:15:44.943583+00:00,gpt-5.4,false,mean,0.04,0.9133333333333333,0.5733333333333334,16914.666666666668,29020.0,13748.0,0.04,0.04163331998932263,0.10066445913694336,429.89417302401296,75.63288526384098,
2026-04-25T18:15:48.401840+00:00,gpt-5.4,true,42,0.08,,0.68,15363,20202,10,,,,,,
2026-04-25T18:15:48.404009+00:00,gpt-5.4,true,123,,0.88,0.6,15364,20202,9498,,,,,,
2026-04-25T18:15:48.405854+00:00,gpt-5.4,true,456,,0.9,0.56,15364,20202,9499,,,,,,
2026-04-25T18:15:48.407711+00:00,gpt-5.4,true,mean,0.08,0.89,0.6133333333333334,15363.666666666666,20202.0,6335.666666666667,,0.014142135623730963,0.06110100926607787,5478.188052023528,0.5773502691896257,0.0
2026-04-23T23:57:23.652438+00:00,qwen3.6-plus,false,42,0.06,0.94,0.76,15218,24977,12161,,,,,,
2026-04-23T23:57:23.658396+00:00,qwen3.6-plus,false,123,0.06,0.88,0.72,15218,25570,12335,,,,,,
2026-04-23T23:57:23.660142+00:00,qwen3.6-plus,false,456,0.06,0.92,0.58,15218,25570,12351,,,,,,
2026-04-23T23:57:23.661803+00:00,qwen3.6-plus,false,mean,0.06,0.9133333333333333,0.6866666666666666,15218.0,25372.333333333332,12282.333333333334,0.0,0.030550504633038912,0.09451631252505219,105.38184536879838,0.0,342.36870962944806
2026-04-25T07:22:19.435085+00:00,qwen3.6-plus,false,42,0.06,0.94,0.76,15218,24977,12161,,,,,,
2026-04-25T07:22:19.439440+00:00,qwen3.6-plus,false,123,0.06,0.88,0.72,15218,25570,12335,,,,,,
2026-04-25T07:22:19.441149+00:00,qwen3.6-plus,false,456,0.06,0.92,0.58,15218,25570,12351,,,,,,
2026-04-25T07:22:19.442813+00:00,qwen3.6-plus,false,mean,0.06,0.9133333333333333,0.6866666666666666,15218.0,25372.333333333332,12282.333333333334,0.0,0.030550504633038912,0.09451631252505219,105.38184536879838,0.0,342.36870962944806
2026-04-25T07:22:37.119224+00:00,qwen3.6-plus,true,42,0.06,0.94,0.76,15218,24977,12161,,,,,,
2026-04-25T07:22:37.121737+00:00,qwen3.6-plus,true,123,0.06,0.88,0.72,15218,25570,12335,,,,,,
2026-04-25T07:22:37.123463+00:00,qwen3.6-plus,true,456,0.06,0.92,0.58,15218,25570,12351,,,,,,
2026-04-25T07:22:37.125163+00:00,qwen3.6-plus,true,mean,0.06,0.9133333333333333,0.6866666666666666,15218.0,25372.333333333332,12282.333333333334,0.0,0.030550504633038912,0.09451631252505219,105.38184536879838,0.0,342.36870962944806
