timestamp,model,is_final,seed,best_fid_small,best_fid_medium,best_fid_large,best_fid,elapsed_train_medium,elapsed_train_small,fid,fid_medium,fid_small
2026-04-30T16:36:41.158083+00:00,gemini-3.1-pro-preview:eng,true,42,18.51,11.13,,11.13,5208,3918,11.19,11.19,18.49
2026-04-29T18:18:06.000000+00:00,openai/gpt-5.4:eng,false,42,,,,,,,,,
2026-04-29T18:31:34.000000+00:00,openai/gpt-5.4:eng,false,42,20.28,12.58,,,,,,12.58,20.28
2026-04-29T22:18:36.000000+00:00,openai/gpt-5.4:eng,false,42,19.17,11.21,,,,,,11.21,19.17
2026-04-29T22:18:36.000000+00:00,openai/gpt-5.4:eng,true,42,19.17,11.21,,,,,,11.21,19.17
2026-04-29T18:18:49.000000+00:00,qwen3.6-plus:eng,false,42,19.44,11.62,,,,,,11.62,19.44
2026-04-29T21:33:15.000000+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,
2026-04-29T23:57:03.000000+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,
2026-04-29T18:18:49.000000+00:00,qwen3.6-plus:eng,true,42,19.44,11.62,,,,,,11.62,19.44
2026-04-30T05:24:39.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
2026-04-30T05:26:57.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
2026-04-30T05:35:36.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,
2026-04-29T19:38:35.000000+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,true,42,19.90,11.48,,,,,,11.48,19.90
