timestamp,model,is_final,seed,accuracy_Cora,macro_f1_Cora,accuracy_CiteSeer,macro_f1_CiteSeer,accuracy_PubMed,macro_f1_PubMed,accuracy_Cora_std,macro_f1_Cora_std,accuracy_CiteSeer_std,macro_f1_CiteSeer_std,accuracy_PubMed_std,macro_f1_PubMed_std,elapsed_Cora,elapsed_CiteSeer,elapsed_PubMed
2026-04-28T20:44:55.265363+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,0.742,0.7293,0.666,0.6333,0.769,0.7699,,,,,,,9,9,9
2026-04-28T20:51:08.344390+00:00,gemini-3.1-pro-preview:eng,false,42,0.797,0.7853,0.685,0.6465,0.761,0.7582,,,,,,,9,9,9
2026-04-28T20:52:49.438606+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T21:05:00.249217+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,,,,,,,
2026-04-28T21:42:41.862559+00:00,gemini-3.1-pro-preview:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T21:44:37.599720+00:00,qwen3.6-plus:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T21:58:11.282704+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T22:39:49.932278+00:00,openai/gpt-5.4:eng,false,42,,,,,,,,,,,,,,,
2026-04-28T22:39:51.634751+00:00,openai/gpt-5.4:eng,true,42,0.799,0.7864,0.707,0.6603,0.778,0.7775,,,,,,,9,10,11
2026-04-28T22:40:03.271867+00:00,openai/gpt-5.4:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T22:40:04.511845+00:00,openai/gpt-5.4:eng:nobudget,true,42,0.79,0.7803,0.706,0.6584,0.762,0.7587,,,,,,,10,12,12
2026-04-28T22:40:15.520421+00:00,qwen3.6-plus:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T22:40:27.734970+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,,,,,,,,,,,,,,,
2026-04-28T22:47:15.939161+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T22:53:40.059925+00:00,gemini-3.1-pro-preview:eng,false,42,0.791,0.7863,0.681,0.6407,0.789,0.7792,,,,,,,17,17,17
2026-04-28T22:54:45.326967+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-28T22:58:20.260711+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,,,,,,,
2026-04-28T23:50:55.422868+00:00,gemini-3.1-pro-preview:nobudget,false,42,0.77,0.7585,,,,,,,,,,,13,13,13
2026-04-28T23:52:37.972321+00:00,qwen3.6-plus:nobudget,false,42,0.689,0.6754,0.634,0.5989,0.744,0.7425,,,,,,,16,16,17
2026-04-29T00:00:06.639329+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,,,,,0.73,0.7277,,,,,,,7,7,16
2026-04-29T01:02:23.563722+00:00,qwen3.6-plus:eng:nobudget,false,42,0.807,0.7926,0.693,0.652,0.75,0.7459,,,,,,,10,10,10
2026-04-29T01:02:33.875719+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,0.769,0.7536,0.654,0.6182,0.741,0.7357,,,,,,,14,14,19
2026-04-29T01:02:34.431031+00:00,qwen3.6-plus:eng:nobudget,true,42,0.807,0.7926,0.693,0.652,0.75,0.7459,,,,,,,10,10,10
2026-04-29T01:02:51.221501+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,0.226,0.1466,0.344,0.2665,0.388,0.3698,,,,,,,11,11,11
2026-04-29T01:03:26.376763+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,true,42,0.742,0.7293,0.666,0.6333,0.769,0.7699,,,,,,,9,9,9
2026-04-29T01:03:30.173038+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,true,42,0.769,0.7536,0.654,0.6182,0.741,0.7357,,,,,,,14,14,19
2026-04-29T01:08:01.688863+00:00,gemini-3.1-pro-preview:eng,false,42,0.833,0.8219,0.705,0.67,0.796,0.7898,,,,,,,12,12,12
2026-04-29T01:08:09.056176+00:00,gemini-3.1-pro-preview:eng,true,42,0.833,0.8219,0.705,0.67,0.796,0.7898,,,,,,,12,12,12
2026-04-29T01:20:15.249602+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,0.771,0.7659,0.691,0.6445,0.769,0.7683,,,,,,,11,11,11
2026-04-29T01:20:27.602295+00:00,qwen3.6-plus:eng,false,42,0.822,0.808,0.697,0.6654,0.797,0.7923,,,,,,,10,10,10
2026-04-29T01:20:42.869169+00:00,qwen3.6-plus:eng,true,42,0.822,0.808,0.697,0.6654,0.797,0.7923,,,,,,,10,10,10
2026-04-29T01:21:50.261001+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,true,42,0.771,0.7659,0.691,0.6445,0.769,0.7683,,,,,,,11,11,11
2026-04-29T01:51:12.767517+00:00,gemini-3.1-pro-preview:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-29T01:51:21.482770+00:00,gemini-3.1-pro-preview:nobudget,true,42,0.77,0.7585,,,,,,,,,,,13.0,13.0,13.0
2026-04-29T01:51:34.673244+00:00,qwen3.6-plus:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-29T01:51:47.608323+00:00,qwen3.6-plus:nobudget,true,42,0.689,0.6754,0.634,0.5989,0.744,0.7425,,,,,,,16,16,17
2026-04-29T01:53:04.472272+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-29T01:53:31.608006+00:00,gemini-3.1-pro-preview:eng:nobudget,true,42,,,,,0.73,0.7277,,,,,,,7,7,16
2026-04-29T03:54:00.706810+00:00,claude-opus-4.6:eng,false,42,0.815,0.8066,0.686,0.6496,0.765,0.7607,,,,,,,8,8,8
2026-04-29T03:59:08.349408+00:00,claude-opus-4.6:eng:nobudget,false,42,0.773,0.7541,0.681,0.6372,0.756,0.7533,,,,,,,11,11,11
2026-04-29T04:10:48.066935+00:00,claude-opus-4.6:nobudget,false,42,0.805,0.7881,0.696,0.6618,0.768,0.7638,,,,,,,8,9,9
2026-04-29T04:10:57.083893+00:00,claude-opus-4.6:eng,false,42,0.804,0.796,0.683,0.6422,0.774,0.7713,,,,,,,9,9,9
2026-04-29T04:24:18.400930+00:00,claude-opus-4.6:eng:nobudget,false,42,0.818,0.8125,0.707,0.6637,0.768,0.7648,,,,,,,9,9,9
2026-04-29T04:36:38.208473+00:00,claude-opus-4.6:eng,false,42,0.82,0.8081,0.716,0.6708,0.779,0.7728,,,,,,,9,9,10
2026-04-29T04:36:45.191069+00:00,claude-opus-4.6:eng,true,42,0.82,0.8081,0.716,0.6708,0.779,0.7728,,,,,,,9,9,10
2026-04-29T04:36:48.676388+00:00,claude-opus-4.6:nobudget,false,42,0.826,0.8095,0.695,0.6515,0.759,0.756,,,,,,,9,10,10
2026-04-29T04:55:58.277160+00:00,claude-opus-4.6:eng:nobudget,false,42,0.816,0.8052,0.685,0.6512,0.783,0.7792,,,,,,,10,10,10
2026-04-29T04:56:05.071816+00:00,claude-opus-4.6:eng:nobudget,true,42,0.818,0.8125,0.707,0.6637,0.768,0.7648,,,,,,,9,9,9
2026-04-29T05:00:05.971516+00:00,claude-opus-4.6:nobudget,false,42,0.769,0.7599,0.683,0.6521,0.747,0.746,,,,,,,8,9,9
2026-04-29T05:00:11.807826+00:00,claude-opus-4.6:nobudget,true,42,0.826,0.8095,0.695,0.6515,0.759,0.756,,,,,,,9,10,10
2026-04-29T13:07:55.450612+00:00,qwen3.6-plus:nobudget,false,42,,,,,,,,,,,,,,,
2026-04-29T13:09:07.460167+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,,,,,,,
2026-04-29T13:10:01.276562+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,,,,,,,
2026-04-29T13:11:06.742754+00:00,qwen3.6-plus:eng,false,42,,,,,,,,,,,,,,,
2026-04-29T13:11:40.244318+00:00,qwen3.6-plus:eng,true,42,0.822,0.808,0.697,0.6654,0.797,0.7923,,,,,,,10.0,10.0,10.0
2026-05-03T08:06:21.008825+00:00,qwen/qwen3.6-plus,true,42,,,,,,,,,,,,,,,
