timestamp,model,is_final,seed,test_acc_resnet56-cifar100,test_acc_vgg16bn-cifar100,test_acc_mobilenetv2-fmnist,elapsed_resnet56-cifar100,elapsed_vgg16bn-cifar100,elapsed_mobilenetv2-fmnist
2026-07-17T22:12:51.757851+00:00,baseline:avg_max,false,3,,73.99,,4858.0,3640.2,4759.9
2026-07-17T22:12:51.840233+00:00,baseline:global_max,false,3,,74.16,,4858.6,3638.3,4759.9
2026-07-17T22:14:26.191046+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,71.19,73.98,94.21,1783.2,1217.1,1703.4
2026-07-17T22:14:37.875004+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,72.39,74.57,94.56,1775.3,1215.1,1695.2
2026-07-17T23:05:27.806364+00:00,claude-fable-5__base:eng:ctx_proposal,false,42,71.78,74.83,94.03,1860.4,1250.5,2245.2
2026-07-17T23:05:33.852372+00:00,claude-fable-5__base:eng:ctx_proposal,true,42,71.78,74.83,94.03,1860.4,1250.5,2245.2
2026-07-18T07:56:31.564372+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,
2026-07-18T08:30:22.187530+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,71.65,1.0,94.67,1684.3,1172.0,1552.0
2026-07-18T08:30:38.246326+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,71.56,2.05,93.44,1684.3,1198.7,1537.8
2026-07-18T08:30:53.706938+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,71.76,73.81,94.61,1698.9,1177.3,1562.2
2026-07-18T08:30:57.041792+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,71.14,74.38,94.51,1701.6,1211.1,1550.0
2026-07-18T08:31:31.926736+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,73.16,74.33,94.54,1711.7,1206.8,1562.3
2026-07-18T08:33:55.733541+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,72.36,73.91,94.58,1780.1,1224.6,1624.8
2026-07-18T08:50:02.056605+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,71.63,74.3,92.95,1681.9,1187.3,1537.9
2026-07-18T08:52:02.360815+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,71.67,73.83,93.99,1714.4,1169.3,1606.2
2026-07-18T08:52:22.975076+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,71.57,1.0,94.5,1732.2,1156.6,1614.0
2026-07-18T08:52:27.100204+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,71.88,74.48,94.55,1732.7,1178.1,1602.0
2026-07-18T08:52:36.969124+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,71.8,74.41,94.53,1728.1,1179.7,1612.1
2026-07-18T08:52:44.796997+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,72.23,73.91,94.65,1715.1,1178.6,1599.8
2026-07-18T08:52:47.560317+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,,,,,,
2026-07-18T08:53:02.357024+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,72.23,73.91,94.65,1715.1,1178.6,1599.8
2026-07-18T08:53:26.058745+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,,,,,,
2026-07-18T09:25:51.423160+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,72.24,1.0,93.58,1686.0,1198.5,1536.1
2026-07-18T09:26:27.822112+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,72.46,72.1,94.14,1698.6,1172.5,1575.2
2026-07-18T09:26:30.948661+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,72.65,74.8,94.44,1686.2,1162.4,1570.3
2026-07-18T09:26:35.430371+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,71.76,73.81,94.61,1698.9,1177.3,1562.2
2026-07-18T09:26:40.079775+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,72.65,74.8,94.44,1686.2,1162.4,1570.3
2026-07-18T09:26:54.137727+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,72.08,73.97,94.47,1706.8,1220.1,1570.8
2026-07-18T09:27:11.279989+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,72.09,74.13,94.57,1715.2,1213.2,1563.1
2026-07-18T09:27:16.505199+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,73.16,74.33,94.54,1711.7,1206.8,1562.3
2026-07-18T09:31:38.811676+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,72.8,74.92,94.34,1756.1,1215.3,1648.7
2026-07-18T09:31:48.554894+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,72.8,74.92,94.34,1756.1,1215.3,1648.7
2026-07-18T09:44:50.125681+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,71.26,73.24,94.8,1666.5,1174.0,1547.7
2026-07-18T09:48:17.259513+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,70.83,73.51,93.75,1722.4,1167.0,1564.3
2026-07-18T09:48:21.721319+00:00,claude-fable-5__rl:eng:ctx_proposal,true,42,71.67,73.83,93.99,1714.4,1169.3,1606.2
2026-07-18T09:48:41.741778+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,71.26,74.89,94.58,1732.6,1174.1,1573.1
2026-07-18T09:48:57.819985+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,71.8,74.41,94.53,1728.1,1179.7,1612.1
2026-07-18T09:49:16.480535+00:00,claude-fable-5__sft32b:eng:ctx_proposal,false,42,72.28,72.98,94.7,1730.5,1183.3,1565.0
2026-07-18T09:49:26.427988+00:00,claude-fable-5__sft32b:eng:ctx_proposal,true,42,71.88,74.48,94.55,1732.7,1178.1,1602.0
2026-07-18T09:51:57.359487+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,72.21,72.02,94.27,1728.6,1160.4,1588.1
2026-07-18T09:52:22.396682+00:00,claude-fable-5__rl:eng:ctx_proposal,true,42,72.21,72.02,94.27,1728.6,1160.4,1588.1
2026-07-18T10:20:59.197657+00:00,claude-fable-5__sft8b:eng:ctx_proposal,false,42,72.45,72.38,94.47,1667.1,1198.5,1526.1
2026-07-18T10:21:07.191165+00:00,claude-fable-5__sft8b:eng:ctx_proposal,true,42,72.45,72.38,94.47,1667.1,1198.5,1526.1
2026-07-18T10:24:40.737734+00:00,claude-fable-5__sft14b:eng:ctx_proposal,false,42,72.31,74.37,94.63,1712.0,1222.6,1584.6
2026-07-18T10:24:47.028297+00:00,claude-fable-5__sft14b:eng:ctx_proposal,true,42,72.31,74.37,94.63,1712.0,1222.6,1584.6
2026-07-18T10:41:36.126825+00:00,claude-fable-5__rl:eng:ctx_proposal,false,42,71.94,71.84,94.03,1691.8,1181.4,1582.7
2026-07-18T10:41:43.887584+00:00,claude-fable-5__rl:eng:ctx_proposal,true,42,71.26,73.24,94.8,1666.5,1174.0,1547.7
2026-07-18T11:22:44.650154+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,72.05,71.66,94.63,1706.3,1182.1,1554.7
2026-07-18T11:23:04.527391+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,70.88,74.26,94.36,1700.6,1198.1,1573.1
2026-07-18T11:24:00.389126+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,71.96,74.15,94.65,1732.9,1180.9,1630.9
2026-07-18T11:55:55.304597+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,71.92,74.56,,1725.6,1203.5,0.0
2026-07-18T11:56:19.627021+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,71.92,74.56,,1725.6,1203.5,0.0
2026-07-18T11:56:30.723470+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,72.2,74.09,,1753.2,1229.5,0.0
2026-07-18T11:56:41.846038+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,72.2,74.09,,1753.2,1229.5,0.0
2026-07-18T11:57:53.980799+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,72.52,74.24,,1778.8,1219.2,0.0
2026-07-18T12:02:10.505909+00:00,claude-fable-5__base32b:eng:ctx_proposal,false,42,,,,,,
2026-07-18T12:02:16.295827+00:00,claude-fable-5__base32b:eng:ctx_proposal,true,42,72.52,74.24,,1778.8,1219.2,0.0
2026-07-20T04:55:09.485937+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,70.03,74.38,94.58,1710.1,1176.4,1568.6
2026-07-20T04:55:19.666930+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,71.53,74.0,94.53,1695.6,1211.2,1553.1
2026-07-20T04:56:38.158631+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.06,1.0,94.34,1728.1,1169.6,1585.5
2026-07-20T05:51:14.563456+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,71.65,1.0,94.46,1705.1,1212.1,1569.2
2026-07-20T05:51:21.248419+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.35,74.17,94.44,1712.7,1170.4,1592.5
2026-07-20T05:52:50.968935+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.36,71.2,94.44,1706.8,1192.4,1553.4
2026-07-20T06:46:46.941060+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.21,73.94,94.75,1710.7,1206.5,1570.6
2026-07-20T06:46:55.034296+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.21,73.94,94.75,1710.7,1206.5,1570.6
2026-07-20T06:47:52.714069+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.54,74.05,94.6,1721.6,1172.6,1610.0
2026-07-20T06:48:03.374408+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.54,74.05,94.6,1721.6,1172.6,1610.0
2026-07-20T06:49:19.512210+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.25,72.77,94.57,1722.5,1184.9,1603.6
2026-07-20T06:49:26.448165+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.25,72.77,94.57,1722.5,1184.9,1603.6
2026-07-21T11:55:26.653056+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,72.24,74.32,93.67,1701.4,1193.8,1579.8
2026-07-21T11:56:22.109425+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,72.14,74.46,94.49,1725.9,1198.6,1593.3
2026-07-21T11:56:41.620401+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,71.67,1.0,94.0,1742.0,1182.7,1621.1
2026-07-21T11:57:40.470190+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.58,73.78,94.61,1682.6,1183.0,1550.8
2026-07-21T11:58:02.572090+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.54,73.95,94.61,1677.6,1162.6,1563.1
2026-07-21T11:58:36.226401+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,72.92,72.0,94.52,1712.0,1206.1,1582.1
2026-07-21T11:59:31.260071+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,72.08,1.0,94.67,1732.7,1168.3,1635.4
2026-07-21T11:59:39.649260+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,72.19,74.45,94.81,1725.1,1191.7,1602.5
2026-07-21T12:17:07.136871+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,72.03,74.5,94.55,1789.9,1142.1,2637.2
2026-07-21T12:18:10.204912+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,,,,,,
2026-07-21T12:19:01.035623+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,72.03,74.5,94.55,1789.9,1142.1,2637.2
2026-07-21T12:51:58.288031+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,72.47,74.63,94.62,1724.5,1175.3,1595.9
2026-07-21T12:52:58.014405+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,71.53,1.0,94.6,1685.8,1174.2,1569.7
2026-07-21T12:52:59.381100+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,71.8,74.27,94.72,1734.6,1186.7,1594.8
2026-07-21T12:53:04.423672+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,72.14,74.46,94.49,1725.9,1198.6,1593.3
2026-07-21T12:53:07.253244+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,,,,,,
2026-07-21T12:53:21.554288+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,71.62,1.0,94.48,1700.2,1171.3,1557.6
2026-07-21T12:53:21.620059+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.58,73.78,94.61,1682.6,1183.0,1550.8
2026-07-21T12:54:32.848911+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,,,,,,
2026-07-21T12:54:39.233997+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.54,73.95,94.61,1677.6,1162.6,1563.1
2026-07-21T12:55:03.097163+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,71.54,74.25,94.43,1736.6,1195.7,1592.3
2026-07-21T12:55:12.818256+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,72.53,74.65,94.37,1765.7,1158.7,1660.7
2026-07-21T12:56:02.290486+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,false,42,71.43,74.53,94.51,1717.2,1185.2,1583.4
2026-07-21T12:56:11.105337+00:00,claude-fable-5__base32bq3:eng:ctx_proposal,true,42,72.19,74.45,94.81,1725.1,1191.7,1602.5
2026-07-21T12:59:33.719013+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,72.89,74.61,94.52,1753.2,1167.3,1685.4
2026-07-21T13:00:03.196443+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,72.89,74.61,94.52,1753.2,1167.3,1685.4
2026-07-21T13:53:29.339139+00:00,claude-fable-5__base8b:eng:ctx_proposal,false,42,73.05,1.0,94.74,1746.3,1149.7,1698.1
2026-07-21T13:53:40.851681+00:00,claude-fable-5__base14b:eng:ctx_proposal,false,42,72.78,73.86,94.5,1766.8,1185.9,1675.9
2026-07-21T13:53:41.407903+00:00,claude-fable-5__base8b:eng:ctx_proposal,true,42,72.53,74.65,94.37,1765.7,1158.7,1660.7
2026-07-21T13:53:47.651005+00:00,claude-fable-5__base14b:eng:ctx_proposal,true,42,72.78,73.86,94.5,1766.8,1185.9,1675.9
