timestamp,model,is_final,seed,best_val_score_xgboost,convergence_auc_xgboost,total_evals_xgboost,best_val_score_svm,convergence_auc_svm,total_evals_svm,best_val_score_nn,convergence_auc_nn,total_evals_nn,best_val_score_xgboost_std,convergence_auc_xgboost_std,total_evals_xgboost_std,best_val_score_svm_std,convergence_auc_svm_std,total_evals_svm_std,best_val_score_nn_std,convergence_auc_nn_std,total_evals_nn_std,elapsed_xgboost,elapsed_svm,elapsed_nn
2026-04-04T07:18:08.992554+00:00,baseline:hyperband,true,456,-0.391865,0.987643,105.0,0.975408,0.989892,95.0,-3043.507516,0.855965,95.0,,,,,,,,,,2,2,2
2026-04-04T07:18:08.992554+00:00,baseline:hyperband,true,mean,-0.3911736666666667,0.960267,105.0,0.9777573333333334,0.953928,95.0,-3053.0998956666667,0.9497373333333333,95.0,0.001953960991308578,0.03148710060749749,0.0,0.0016612295312675824,0.031226384228725545,0.0,12.182561406502716,0.06631891990643063,0.0,2.0,2.0,2.0
2026-04-04T08:02:20.846604+00:00,baseline:optuna_cma,true,42,-0.404518,0.801772,50.0,0.978932,0.840799,40.0,-3066.205905,0.9625,40.0,,,,,,,,,,1664,4,33
2026-04-04T08:02:20.851031+00:00,baseline:optuna_cma,true,123,-0.40525,0.645021,50.0,0.978932,0.22408,40.0,-3013.318917,0.881799,40.0,,,,,,,,,,1664,4,44
2026-04-04T08:02:20.856725+00:00,baseline:optuna_cma,true,456,-0.391865,0.76498,50.0,0.975408,0.928333,40.0,-3021.756067,0.9625,40.0,,,,,,,,,,1664,4,44
2026-04-04T08:02:20.856725+00:00,baseline:optuna_cma,true,mean,-0.40054433333333334,0.7372576666666667,50.0,0.9777573333333334,0.664404,40.0,-3033.7602963333334,0.9355996666666666,40.0,0.006144486760955338,0.06692839369721115,0.0,0.0016612295312675824,0.31340013722715565,0.0,23.199633852620405,0.03804281623235706,0.0,1664.0,4.0,40.333333333333336
2026-04-04T07:18:03.847707+00:00,baseline:random_search,true,42,-0.396658,0.957041,50.0,0.978932,0.889855,40.0,-3070.18992,0.961907,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.848926+00:00,baseline:random_search,true,123,-0.393145,0.962503,50.0,0.978932,0.562513,40.0,-3013.318917,0.664774,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.849841+00:00,baseline:random_search,true,456,-0.391865,0.917713,50.0,0.975408,0.913161,40.0,-3067.417091,0.690738,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.849841+00:00,baseline:random_search,true,mean,-0.39388933333333337,0.9457523333333334,50.0,0.9777573333333334,0.7885096666666667,40.0,-3050.308642666667,0.7724730000000001,40.0,0.0020262833519086626,0.019951800609357435,0.0,0.0016612295312675824,0.16008677317282924,0.0,26.18017059833956,0.13436880240839638,0.0,2.0,2.0,2.0
2026-04-04T07:18:03.915414+00:00,baseline:tpe,true,42,-0.391354,0.913637,50.0,0.978932,0.922994,40.0,-3063.606191,0.957996,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.915995+00:00,baseline:tpe,true,123,-0.39042,0.948581,50.0,0.978932,0.793386,40.0,-3041.412304,0.797801,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.916380+00:00,baseline:tpe,true,456,-0.394426,0.936397,50.0,0.980686,0.91239,40.0,-3039.382023,0.736065,40.0,,,,,,,,,,2,2,2
2026-04-04T07:18:03.916380+00:00,baseline:tpe,true,mean,-0.3920666666666666,0.9328716666666667,50.0,0.9795166666666667,0.8762566666666668,40.0,-3048.133506,0.8306206666666666,40.0,0.0017113209972286249,0.01448198341234913,0.0,0.000826843529467433,0.05875810156527825,0.0,10.972192004233735,0.09352785709913146,0.0,2.0,2.0,2.0
2026-04-06T07:10:08.493260+00:00,anthropic/claude-opus-4.6,false,42,-0.392528,0.943962,75.0,0.975414,0.953103,60.0,-3030.550478,0.999798,60.0,,,,,,,,,,1291,1291,1291
2026-04-06T07:40:17.210312+00:00,anthropic/claude-opus-4.6,false,42,-0.389088,0.907739,50.0,0.977162,0.929408,40.0,-3008.141655,0.927174,40.0,,,,,,,,,,1486,1486,1486
2026-04-07T02:18:33.702548+00:00,deepseek-reasoner,false,42,-0.396658,0.957041,50.0,0.978932,0.889855,40.0,-3070.18992,0.961907,40.0,,,,,,,,,,1650,1650,1650
2026-04-07T02:43:33.334947+00:00,deepseek-reasoner,false,42,-0.388511,0.914164,110.0,0.975402,0.980525,100.0,-3043.719153,1.007238,100.0,,,,,,,,,,1424,1424,1424
2026-04-07T03:07:49.489753+00:00,deepseek-reasoner,true,42,-0.388511,0.914164,110.0,0.978932,0.93695,100.0,-3043.719153,0.992238,100.0,,,,,,,,,,1407,1407,1407
2026-04-06T07:10:01.634019+00:00,google/gemini-3.1-pro-preview,false,42,-0.391863,0.914665,207.0,0.975423,0.96397,170.0,-3015.537357,0.998137,157.0,,,,,,,,,,1647,1647,1647
2026-04-06T07:29:18.429682+00:00,google/gemini-3.1-pro-preview,false,42,-0.388965,0.90413,101.0,0.980686,0.953613,79.0,-3013.073664,0.975741,79.0,,,,,,,,,,1117,1117,1117
2026-04-06T07:29:56.863857+00:00,google/gemini-3.1-pro-preview,true,42,-0.388965,0.90413,101.0,0.980686,0.953613,79.0,-3013.073664,0.975741,79.0,,,,,,,,,,1117,1117,1117
2026-04-06T07:35:31.641247+00:00,openai/gpt-5.4-pro,false,42,-0.400153,0.758256,52.0,0.973653,0.84292,40.0,-3063.541269,0.1,42.0,,,,,,,,,,1347,1347,1347
2026-04-06T08:15:50.528899+00:00,openai/gpt-5.4-pro,false,42,-0.394126,0.819462,50.0,0.980686,0.940594,40.0,-3027.462978,0.833099,40.0,,,,,,,,,,1411,1411,1411
2026-04-06T08:51:09.031555+00:00,openai/gpt-5.4-pro,true,42,-0.38566,0.276117,50.0,0.980686,0.940594,40.0,-3003.387875,0.8625,40.0,,,,,,,,,,1101,1101,1101
2026-04-06T07:08:20.146883+00:00,qwen3.6-plus:free,false,42,-0.390889,0.895986,76.0,0.980674,0.94835,61.0,-3064.034395,1.001097,61.0,,,,,,,,,,1570,1570,1570
2026-04-06T08:02:01.275301+00:00,qwen3.6-plus:free,true,42,-0.396658,0.957041,50.0,0.975392,0.93478,40.0,-3070.18992,0.961907,40.0,,,,,,,,,,2205,2205,2205
2026-04-24T08:09:50.495001+00:00,baseline:dehb,false,42,-0.388511,0.847548,80.0,0.978932,0.973311,65.0,-3086.08148,1.003472,70.0,,,,,,,,,,1272,1272,1272
2026-04-28T12:15:46.905226+00:00,openai/gpt-5.4,false,42,-0.421544,0.764412,60.0,0.977162,0.84887,48.0,-2958.512689,0.961875,48.0,,,,,,,,,,1043,1043,1043
2026-04-28T12:37:26.665659+00:00,openai/gpt-5.4,false,42,-0.384811,0.76164,50.0,0.978932,0.886253,44.0,-2986.684771,0.925945,46.0,,,,,,,,,,1198,1198,1198
2026-04-28T12:37:38.717503+00:00,openai/gpt-5.4,true,42,-0.384811,0.76164,50.0,0.978932,0.886253,44.0,-2986.684771,0.925945,46.0,,,,,,,,,,1198,1198,1198
2026-05-03T09:06:38.144788+00:00,anthropic/claude-opus-4.6,true,42,-0.389088,0.907739,50.0,0.977162,0.929408,40.0,-3008.141655,0.927174,40.0,,,,,,,,,,1486,1486,1486
