timestamp,model,is_final,seed,test_acc_resnet20-cifar10,test_acc_resnet56-cifar100,test_acc_resnet110-cifar100,elapsed_resnet20-cifar10,elapsed_resnet56-cifar100,elapsed_resnet110-cifar100
2026-04-28T21:03:45.013238+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,92.71,72.93,73.92,1404,2621,4513
2026-04-28T21:23:25.472969+00:00,qwen3.6-plus:eng:nobudget,false,42,92.53,72.04,73.71,1194,2108,3131
2026-04-28T21:38:36.563840+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,92.72,72.67,73.65,1651,2886,4862
2026-04-28T21:42:03.096423+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,,,,,,
2026-04-28T22:03:43.720619+00:00,gemini-3.1-pro-preview:nobudget,false,42,92.57,72.11,73.64,1897,2892,4684
2026-04-28T22:22:09.673010+00:00,gemini-3.1-pro-preview:eng,false,42,93.29,74.41,74.13,2283,4030,4784
2026-04-28T22:35:02.226137+00:00,qwen3.6-plus:eng,false,42,92.69,72.64,74.45,1508,2707,5133
2026-04-28T22:39:25.568218+00:00,openai/gpt-5.4:eng:nobudget,false,42,,,,,,
2026-04-28T22:39:33.220679+00:00,openai/gpt-5.4:eng:nobudget,true,42,92.25,72.76,74.42,1708,3184,4642
2026-04-28T22:55:21.593982+00:00,qwen3.6-plus:nobudget,false,42,,,,,,
2026-04-28T23:20:03.701818+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,92.84,72.15,73.57,1416,2869,6086
2026-04-28T23:44:15.404156+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,90.41,73.74,75.37,1757,2866,2745
2026-04-28T23:54:06.175453+00:00,openai/gpt-5.4:eng,false,42,91.75,73.37,76.41,2022,3510,4638
2026-04-28T23:54:08.037665+00:00,openai/gpt-5.4:eng,true,42,91.75,73.37,76.41,2022,3510,4638
2026-04-29T00:00:09.566616+00:00,openai/gpt-5.4:nobudget,false,42,,,68.56,7,7,4879
2026-04-29T00:04:42.860191+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,92.81,,,1013,1013,9
2026-04-29T00:40:47.552464+00:00,qwen3.6-plus:eng:nobudget,false,42,92.64,72.08,73.9,1360,2502,5662
2026-04-29T01:02:07.030209+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,92.71,73.99,75.22,1682,3059,4788
2026-04-29T01:43:26.380427+00:00,gemini-3.1-pro-preview:nobudget,false,42,93.14,72.87,72.5,1691,3218,6096
2026-04-29T01:49:50.796974+00:00,gemini-3.1-pro-preview:eng,false,42,92.7,74.77,74.99,1736,3296,4862
2026-04-29T01:52:47.853268+00:00,openai/gpt-5.4:nobudget,false,42,,,,,,
2026-04-29T01:52:49.221522+00:00,openai/gpt-5.4:nobudget,true,42,92.74,72.47,74.58,1475,2758,5170
2026-04-29T01:53:57.035827+00:00,gemini-3.1-pro-preview:eng:nobudget,false,42,,,,,,
2026-04-29T01:54:12.337476+00:00,gemini-3.1-pro-preview:eng:nobudget,true,42,92.81,,,1013,1013,9
2026-04-29T02:02:49.348648+00:00,qwen3.6-plus:eng:nobudget,false,42,,,,,,
2026-04-29T02:02:58.752160+00:00,qwen3.6-plus:eng:nobudget,true,42,92.64,72.08,73.9,1360,2502,5662
2026-04-29T02:27:32.657952+00:00,qwen3.6-plus:nobudget,false,42,90.76,71.46,73.43,1652,2959,4200
2026-04-29T02:27:42.345619+00:00,qwen3.6-plus:nobudget,true,42,90.76,71.46,73.43,1652,2959,4200
2026-04-29T02:31:16.648628+00:00,qwen3.6-plus:eng,false,42,92.48,72.34,75.2,1937,3097,5490
2026-04-29T02:33:15.136575+00:00,qwen3.6-plus:eng,false,42,,,,,,
2026-04-29T02:33:30.742249+00:00,qwen3.6-plus:eng,true,42,92.69,72.64,74.45,1508,2707,5133
2026-04-29T02:37:15.728601+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,91.38,73.31,75.03,1282,2343,4515
2026-04-29T03:17:08.732202+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,false,42,91.41,73.6,74.89,1923,3526,4288
2026-04-29T03:17:29.882508+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng:nobudget,true,42,92.71,73.99,75.22,1682,3059,4788
2026-04-29T03:20:03.739084+00:00,gemini-3.1-pro-preview:eng,false,42,92.88,73.12,,1698,3147,7
2026-04-29T03:20:28.881464+00:00,gemini-3.1-pro-preview:eng,true,42,92.7,74.77,74.99,1736,3296,4862
2026-04-29T03:22:46.326707+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,false,42,93.02,73.99,75.89,1390,2258,5571
2026-04-29T03:22:54.045353+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:eng,true,42,93.02,73.99,75.89,1390,2258,5571
2026-04-29T04:05:23.997447+00:00,gemini-3.1-pro-preview:nobudget,false,42,93.27,,72.23,2092,2092,6134
2026-04-29T04:05:44.155938+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,false,42,,,74.7,8,9,5222
2026-04-29T04:05:53.402351+00:00,gemini-3.1-pro-preview:nobudget,true,42,93.14,72.87,72.5,1691,3218,6096
2026-04-29T04:07:35.869167+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas:nobudget,true,42,91.38,73.31,75.03,1282,2343,4515
2026-04-29T05:20:41.677212+00:00,claude-opus-4.6:eng:nobudget,false,42,92.13,72.77,74.16,1443,2785,5214
2026-04-29T05:21:31.671116+00:00,claude-opus-4.6:nobudget,false,42,92.01,73.54,74.07,1475,2904,4940
2026-04-29T05:30:19.789855+00:00,claude-opus-4.6:eng,false,42,92.44,72.85,74.48,2041,3502,4956
2026-04-29T06:38:14.942471+00:00,claude-opus-4.6:eng:nobudget,false,42,92.22,72.74,74.37,1558,2915,4627
2026-04-29T06:44:16.092487+00:00,claude-opus-4.6:nobudget,false,42,92.2,74.64,75.75,1742,3083,4936
2026-04-29T06:52:06.717982+00:00,claude-opus-4.6:eng,false,42,92.57,71.71,73.44,2016,3264,4882
2026-04-29T07:52:07.801684+00:00,claude-opus-4.6:nobudget,false,42,92.3,74.68,76.24,1522,2754,4045
2026-04-29T07:52:15.646641+00:00,claude-opus-4.6:nobudget,true,42,92.3,74.68,76.24,1522,2754,4045
2026-04-29T08:00:32.783053+00:00,claude-opus-4.6:eng,false,42,93.06,73.09,74.74,1805,3060,4083
2026-04-29T08:00:38.880894+00:00,claude-opus-4.6:eng,true,42,93.06,73.09,74.74,1805,3060,4083
2026-04-29T08:03:10.402408+00:00,claude-opus-4.6:eng:nobudget,false,42,92.4,72.08,73.04,1896,3267,5069
2026-04-29T08:03:17.838303+00:00,claude-opus-4.6:eng:nobudget,true,42,92.22,72.74,74.37,1558,2915,4627
2026-04-29T13:08:28.836069+00:00,qwen3.6-plus:nobudget,false,42,,,,,,
2026-04-29T13:11:45.939090+00:00,qwen3.6-plus:nobudget,false,42,,,,,,
2026-04-29T13:12:43.493638+00:00,qwen3.6-plus:nobudget,false,42,,,,,,
2026-04-29T13:14:22.785885+00:00,qwen3.6-plus:nobudget,true,42,90.76,71.46,73.43,1652.0,2959.0,4200.0
2026-04-29T13:27:16.344894+00:00,qwen3.6-plus:eng,false,42,92.58,,,1086,1086,7
2026-04-29T13:27:47.584677+00:00,qwen3.6-plus:eng,false,42,,,,,,
