timestamp,model,is_final,seed,accuracy_EthanolConcentration,accuracy_FaceDetection,accuracy_Handwriting,elapsed_EthanolConcentration,elapsed_FaceDetection,elapsed_Handwriting,accuracy_EthanolConcentration_std,elapsed_EthanolConcentration_std,accuracy_FaceDetection_std,elapsed_FaceDetection_std,accuracy_Handwriting_std,elapsed_Handwriting_std
2026-04-05T05:01:52.127326+00:00,gpt-5.4-pro,false,123,0.2965779467680608,0.5902383654937571,0.4470588235294118,256,1048,387,,,,,,
2026-04-05T05:01:52.127725+00:00,gpt-5.4-pro,false,456,0.29277566539923955,0.6186152099886493,0.47058823529411764,256,1186,447,,,,,,
2026-04-05T05:01:52.128095+00:00,gpt-5.4-pro,false,mean,0.2902408111533587,0.6072644721906924,0.44588235294117645,216.66666666666666,1094.0,407.0,0.007915079845878815,68.12733176437584,0.015015614705247402,79.67433714816836,0.02531462916629414,34.64101615137755
2026-04-05T05:41:17.791879+00:00,anthropic/claude-opus-4.6,false,42,0.28517110266159695,0.659477866061294,0.4164705882352941,95,932,932,,,,,,
2026-04-06T11:25:40.293006+00:00,google/gemini-3.1-pro-preview,true,42,0.27756653992395436,0.6552213393870602,0.25882352941176473,57,784,185,,,,,,
2026-04-06T11:25:40.295406+00:00,google/gemini-3.1-pro-preview,true,123,0.2661596958174905,0.6637343927355278,0.28,78,784,185,,,,,,
2026-04-06T11:25:40.295879+00:00,google/gemini-3.1-pro-preview,true,456,0.26996197718631176,0.656072644721907,0.24588235294117647,78,836,213,,,,,,
2026-04-06T11:25:40.296319+00:00,google/gemini-3.1-pro-preview,true,mean,0.2712294043092522,0.6583427922814983,0.2615686274509804,71.0,801.3333333333334,194.33333333333334,0.005808080728714621,12.12435565298214,0.004688624188949563,30.02221399786054,0.017223679416468837,16.165807537309522
2026-04-06T11:37:53.982215+00:00,deepseek-reasoner,false,42,0.2889733840304182,0.5587400681044268,0.26941176470588235,64,651,161,,,,,,
2026-04-06T11:37:53.984240+00:00,deepseek-reasoner,false,123,0.2889733840304182,0.5624290578887627,0.2811764705882353,64,673,169,,,,,,
2026-04-06T11:37:53.984736+00:00,deepseek-reasoner,false,456,0.28517110266159695,0.565266742338252,0.2235294117647059,75,697,169,,,,,,
2026-04-06T11:37:53.985345+00:00,deepseek-reasoner,false,mean,0.2877059569074778,0.5621452894438138,0.2580392156862745,67.66666666666667,673.6666666666666,166.33333333333334,0.002195248171823659,6.3508529610858835,0.003272577353765855,23.00724523564986,0.03045976035942178,4.618802153517006
2026-04-06T12:01:01.201452+00:00,openai/gpt-5.4-pro,false,42,0.27756653992395436,0.6421679909194098,0.5070588235294118,106,937,208,,,,,,
2026-04-06T12:01:01.203410+00:00,openai/gpt-5.4-pro,false,123,0.2889733840304182,0.6356413166855845,0.5117647058823529,144,937,303,,,,,,
2026-04-06T12:01:01.203942+00:00,openai/gpt-5.4-pro,false,456,0.28517110266159695,0.6350737797956867,0.5141176470588236,148,937,303,,,,,,
2026-04-06T12:01:01.208190+00:00,openai/gpt-5.4-pro,false,mean,0.28390367553865653,0.637627695800227,0.5109803921568628,132.66666666666666,937.0,271.3333333333333,0.005808080728714621,23.180451534284945,0.003942237227426197,0.0,0.003594177015651641,54.84827557301445
2026-04-06T12:20:57.269853+00:00,deepseek-reasoner,false,42,0.2813688212927757,0.6047105561861521,0.47294117647058825,88,646,646,,,,,,
2026-04-06T12:46:58.284738+00:00,openai/gpt-5.4-pro,false,42,0.2965779467680608,0.623155505107832,0.52,155,836,836,,,,,,
2026-04-06T13:37:02.676932+00:00,openai/gpt-5.4-pro,true,42,0.29277566539923955,0.6438706015891033,0.5,196,959,334,,,,,,
2026-04-06T13:37:02.679805+00:00,openai/gpt-5.4-pro,true,123,0.27756653992395436,0.6486946651532349,0.4447058823529412,196,959,334,,,,,,
2026-04-06T13:37:02.680449+00:00,openai/gpt-5.4-pro,true,456,0.2889733840304182,0.6606129398410897,0.44,196,959,334,,,,,,
2026-04-06T13:37:02.681041+00:00,openai/gpt-5.4-pro,true,mean,0.2864385297845374,0.651059402194476,0.4615686274509804,196.0,959.0,334.0,0.007915079845878838,0.0,0.008618031010134813,0.0,0.033365612974754176,0.0
2026-04-26T07:04:05.476734+00:00,gpt-5.4,false,42,,,,,,,,,,,,
2026-04-26T07:04:05.479161+00:00,gpt-5.4,false,123,,,,,,,,,,,,
2026-04-26T07:04:05.479824+00:00,gpt-5.4,false,456,,,,,,,,,,,,
2026-04-26T07:15:18.775113+00:00,gpt-5.4,false,42,,,,,,,,,,,,
2026-04-26T07:15:18.777915+00:00,gpt-5.4,false,123,,,,,,,,,,,,
2026-04-26T07:15:18.778631+00:00,gpt-5.4,false,456,,,,,,,,,,,,
2026-04-26T07:37:46.105949+00:00,gpt-5.4,false,42,0.2737642585551331,0.5709421112372304,0.052941176470588235,64,732,87,,,,,,
2026-04-26T07:37:46.108957+00:00,gpt-5.4,false,123,0.2813688212927757,0.5610102156640182,0.058823529411764705,90,732,98,,,,,,
2026-04-26T07:37:46.109678+00:00,gpt-5.4,false,456,0.27756653992395436,0.55788876276958,0.05058823529411765,90,739,98,,,,,,
2026-04-26T07:37:46.110372+00:00,gpt-5.4,false,mean,0.27756653992395436,0.5632803632236095,0.05411764705882353,81.33333333333333,734.3333333333334,94.33333333333333,0.0038022813688212975,15.01110699893027,0.006816351957698228,4.041451884327381,0.004241825029957633,6.3508529610858835
2026-04-26T07:37:52.304463+00:00,gpt-5.4,true,42,0.2737642585551331,0.5709421112372304,0.052941176470588235,64,732,87,,,,,,
2026-04-26T07:37:52.306007+00:00,gpt-5.4,true,123,0.2813688212927757,0.5610102156640182,0.058823529411764705,90,732,98,,,,,,
2026-04-26T07:37:52.306770+00:00,gpt-5.4,true,456,0.27756653992395436,0.55788876276958,0.05058823529411765,90,739,98,,,,,,
2026-04-26T07:37:52.307524+00:00,gpt-5.4,true,mean,0.27756653992395436,0.5632803632236095,0.05411764705882353,81.33333333333333,734.3333333333334,94.33333333333333,0.0038022813688212975,15.01110699893027,0.006816351957698228,4.041451884327381,0.004241825029957633,6.3508529610858835
2026-05-03T09:15:47.195665+00:00,anthropic/claude-opus-4.6,true,42,0.311787072243346,0.6390465380249716,0.4929411764705882,152,642,324,,,,,,
2026-05-03T09:15:47.196665+00:00,anthropic/claude-opus-4.6,true,123,0.311787072243346,0.6342224744608399,0.548235294117647,152,674,353,,,,,,
2026-05-03T09:15:47.197665+00:00,anthropic/claude-opus-4.6,true,456,0.3155893536121673,0.6186152099886493,0.5152941176470588,152,674,353,,,,,,
2026-05-03T09:15:47.198665+00:00,anthropic/claude-opus-4.6,true,mean,0.31305449936628643,0.6306280741581536,0.5188235294117647,152.0,663.3333333333334,343.3333333333333,0.002195248171823659,0.0,0.010679399631248757,18.475208614068023,0.027815506864792682,16.74315780649915
2026-05-03T09:16:16.807827+00:00,deepseek-reasoner,true,42,0.2813688212927757,0.6047105561861521,0.47294117647058825,88,646,646,,,,,,
