timestamp,model,is_final,seed,eval_return_breakout,elapsed_breakout,eval_return_qbert,elapsed_qbert,eval_return_pong,elapsed_pong,eval_return_breakout_std,elapsed_breakout_std,eval_return_qbert_std,elapsed_qbert_std,eval_return_pong_std,elapsed_pong_std
2026-04-10T03:50:26.510615+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,
2026-04-10T18:39:55.732317+00:00,google/gemini-3.1-pro-preview,false,42,13.5,,3880.0,,13.2,,,,,,,
2026-04-10T20:36:59.913371+00:00,deepseek-reasoner,false,42,8.9,,5460.0,,8.1,,,,,,,
2026-04-10T22:31:12.923985+00:00,anthropic/claude-opus-4.6,false,42,4.9,,12197.5,,,931,,,,,,
2026-04-10T22:31:12.925143+00:00,anthropic/claude-opus-4.6,false,123,10.8,,3697.5,,,931,,,,,,
2026-04-10T22:31:12.936884+00:00,anthropic/claude-opus-4.6,false,456,12.5,,,774,,1486,,,,,,
2026-04-10T22:31:12.937550+00:00,anthropic/claude-opus-4.6,false,mean,9.4,,7947.5,774.0,,1116.0,3.988734135035826,,6010.407640085654,,,320.4293994002423
2026-04-10T22:34:11.214251+00:00,openai/gpt-5.4-pro,false,42,7.9,,11900.0,,5.0,,,,,,,
2026-04-10T22:34:11.221950+00:00,openai/gpt-5.4-pro,false,123,7.0,,2187.5,,12.9,,,,,,,
2026-04-10T22:34:11.222731+00:00,openai/gpt-5.4-pro,false,456,9.8,,4992.5,,6.2,,,,,,,
2026-04-10T22:34:11.223420+00:00,openai/gpt-5.4-pro,false,mean,8.233333333333334,,6360.0,,8.033333333333333,,1.4294521094927715,,4998.570420630283,,4.25715084690845,
2026-04-11T20:38:42.515787+00:00,deepseek-reasoner,false,42,3.1,,637.5,,,,,,,,,
2026-04-11T20:38:42.531967+00:00,deepseek-reasoner,false,123,0.0,,1650.0,,,,,,,,,
2026-04-11T20:38:42.539035+00:00,deepseek-reasoner,false,456,1.1,,0.0,,,,,,,,,
2026-04-11T20:38:42.542040+00:00,deepseek-reasoner,false,mean,1.4000000000000001,,762.5,,,,1.5716233645501712,,832.071962032131,,,
2026-04-11T20:39:07.088649+00:00,deepseek-reasoner,true,42,8.9,,5460.0,,8.1,,,,,,,
2026-04-11T20:39:07.090267+00:00,deepseek-reasoner,true,123,,,,,,,,,,,,
2026-04-11T20:39:07.091070+00:00,deepseek-reasoner,true,456,,,,,,,,,,,,
2026-04-24T12:32:55.597357+00:00,qwen3.6-plus,false,42,16.2,,0.0,,-21.0,,,,,,,
2026-04-24T12:32:55.599350+00:00,qwen3.6-plus,false,123,18.5,,0.0,,6.5,,,,,,,
2026-04-24T12:32:55.600381+00:00,qwen3.6-plus,false,456,15.7,,0.0,,-6.0,,,,,,,
2026-04-24T12:32:55.611485+00:00,qwen3.6-plus,false,mean,16.8,,0.0,,-6.833333333333333,,1.4933184523068084,,0.0,,13.768926368215254,
2026-04-25T22:17:26.295436+00:00,claude-opus-4.6,false,42,7.8,,2927.5,,7.8,,,,,,,
2026-04-25T22:17:26.297397+00:00,claude-opus-4.6,false,123,4.8,,5355.0,,-5.7,,,,,,,
2026-04-25T22:17:26.298455+00:00,claude-opus-4.6,false,456,11.6,,2770.0,,4.6,,,,,,,
2026-04-25T22:17:26.311566+00:00,claude-opus-4.6,false,mean,8.066666666666666,,3684.1666666666665,,2.233333333333333,,3.4078341117685484,,1449.1254546564744,,7.0543131014531335,
2026-04-26T00:34:06.989966+00:00,gemini-3.1-pro-preview,false,42,10.9,,265.0,,-21.0,,,,,,,
2026-04-26T00:34:06.991619+00:00,gemini-3.1-pro-preview,false,123,7.6,,170.0,,-21.0,,,,,,,
2026-04-26T00:34:06.992714+00:00,gemini-3.1-pro-preview,false,456,3.1,,345.0,,-17.6,,,,,,,
2026-04-26T00:34:06.993929+00:00,gemini-3.1-pro-preview,false,mean,7.2,,260.0,,-19.866666666666667,,3.9153543900903784,,87.60707733967615,,1.9629909152447267,
