timestamp,model,is_final,seed,d4rl_score_pen_human_v1,d4rl_score_hammer_human_v1,d4rl_score_door_cloned_v1,d4rl_score_pen_human_v1_std,d4rl_score_hammer_human_v1_std,d4rl_score_door_cloned_v1_std,elapsed_pen-human-v1,elapsed_hammer-human-v1,elapsed_door-cloned-v1,elapsed_pen-human-v1_std,elapsed_hammer-human-v1_std,elapsed_door-cloned-v1_std
2026-04-11T00:40:16.847525+00:00,qwen3.6-plus,false,123,,,-0.078,,,,31,32,27533,,,
2026-04-11T00:40:16.848272+00:00,qwen3.6-plus,false,456,,,-0.136,,,,31,32,27533,,,
2026-04-11T00:40:16.848965+00:00,qwen3.6-plus,false,mean,,,-0.10533333333333333,,,0.029143323992525862,31.0,32.0,27477.0,0.0,0.0,96.99484522385713
2026-04-11T00:47:35.324155+00:00,qwen3.6-plus,false,456,,,-0.136,,,,31.0,32.0,27533.0,,,
2026-04-22T18:32:46.103923+00:00,gpt-5.4,false,42,65.763,1.288,-0.081,,,,,,,,,
2026-04-22T18:32:46.105500+00:00,gpt-5.4,false,123,72.736,3.433,0.026,,,,,,,,,
2026-04-22T18:32:46.106174+00:00,gpt-5.4,false,456,57.159,9.52,-0.09,,,,,,,,,
2026-04-22T18:32:46.106823+00:00,gpt-5.4,false,mean,65.21933333333334,4.747,-0.04833333333333333,7.802718265664433,4.270410167653687,0.06453164598345011,,,,,,
2026-04-23T16:32:56.557653+00:00,gpt-5.4,false,42,77.808,1.254,-0.096,,,,,,,,,
2026-04-23T16:32:56.558815+00:00,gpt-5.4,false,123,57.043,1.73,-0.025,,,,,,,,,
2026-04-23T16:32:56.567419+00:00,gpt-5.4,false,456,57.59,1.862,-0.044,,,,,,,,,
2026-04-23T16:32:56.589317+00:00,gpt-5.4,false,mean,64.147,1.6153333333333333,-0.055,11.833933961282701,0.31980827589875366,0.03675595189897821,,,,,,
2026-04-23T16:32:59.208643+00:00,gpt-5.4,true,42,65.763,1.288,-0.081,,,,,,,,,
2026-04-23T16:32:59.209764+00:00,gpt-5.4,true,123,72.736,3.433,0.026,,,,,,,,,
2026-04-23T16:32:59.217419+00:00,gpt-5.4,true,456,57.159,9.52,-0.09,,,,,,,,,
2026-04-23T16:32:59.241109+00:00,gpt-5.4,true,mean,65.21933333333334,4.747,-0.04833333333333333,7.802718265664433,4.270410167653687,0.06453164598345011,,,,,,
2026-04-25T12:08:39.209667+00:00,qwen3.6-plus,false,42,44.439,1.295,-0.054,,,,,,,,,
2026-04-25T12:08:39.212698+00:00,qwen3.6-plus,false,123,19.896,2.195,-0.049,,,,,,,,,
2026-04-25T12:08:39.258813+00:00,qwen3.6-plus,false,456,40.004,1.562,-0.034,,,,,,,,,
2026-04-25T12:08:39.263730+00:00,qwen3.6-plus,false,mean,34.779666666666664,1.684,-0.04566666666666667,13.078989117410156,0.4622369522225586,0.010408329997330662,,,,,,
2026-04-28T15:08:24.569500+00:00,qwen3.6-plus,false,42,86.735,2.385,-0.108,,,,,,,,,
2026-04-28T15:08:24.621730+00:00,qwen3.6-plus,false,123,55.642,0.669,-0.1,,,,,,,,,
2026-04-28T15:08:24.630706+00:00,qwen3.6-plus,false,456,52.915,7.331,-0.094,,,,,,,,,
2026-04-28T15:08:24.634491+00:00,qwen3.6-plus,false,mean,65.09733333333334,3.461666666666667,-0.10066666666666667,18.788310097859608,3.45904167846144,0.007023769168568492,,,,,,
2026-05-01T14:46:38.326617+00:00,qwen3.6-plus,true,42,71.796,1.195,-0.066,,,,,,,,,
2026-05-01T14:46:38.361616+00:00,qwen3.6-plus,true,123,42.409,1.064,-0.062,,,,,,,,,
2026-05-01T14:46:38.373778+00:00,qwen3.6-plus,true,456,45.867,1.009,-0.06,,,,,,,,,
2026-05-01T14:46:38.385324+00:00,qwen3.6-plus,true,mean,53.35733333333334,1.0893333333333333,-0.06266666666666666,16.061686160964964,0.09555277773740199,0.0030550504633038962,,,,,,
2026-05-03T08:46:31.224368+00:00,deepseek-reasoner,true,42,103.28,2.341,-0.05,,,,21271,22471,22471,,,
