timestamp,model,is_final,seed,tflops_hdim64_seq4k,latency_ms_hdim64_seq4k,max_diff_hdim64_seq4k,correct_hdim64_seq4k,elapsed_hdim64_seq4k,tflops_hdim128_seq8k,latency_ms_hdim128_seq8k,max_diff_hdim128_seq8k,correct_hdim128_seq8k,elapsed_hdim128_seq8k,tflops_hdim256_seq16k,latency_ms_hdim256_seq16k,max_diff_hdim256_seq16k,correct_hdim256_seq16k,elapsed_hdim256_seq16k,speedup_vs_sdpa_hdim64_seq4k,sdpa_latency_ms_hdim64_seq4k,speedup_vs_sdpa_hdim128_seq8k,sdpa_latency_ms_hdim128_seq8k,speedup_vs_sdpa_hdim256_seq16k,sdpa_latency_ms_hdim256_seq16k
2026-04-28T19:18:03.346711+00:00,openai/gpt-5.4,true,42,330.3059,0.8322,0.001953125,1.0,12,395.7036,1.3893,0.001953125,1.0,15,190.1133,5.7835,0.001953125,1.0,26,1.1567,0.9626,1.279,1.7769,0.6583,3.807
2026-04-28T19:22:23.526507+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,288.9704,0.9512,0.001953125,1.0,25,232.5784,2.3637,0.001953125,1.0,42,62.0712,17.7137,0.001953125,1.0,151,1.0107,0.9614,0.7488,1.77,0.2181,3.8632
2026-04-28T19:23:08.118908+00:00,qwen3.6-plus,false,42,335.0862,0.8203,0.001953125,1.0,13,337.8871,1.627,0.001953125,1.0,16,197.3133,5.5724,0.001953125,1.0,27,1.1968,0.9817,1.0864,1.7676,0.6838,3.8106
2026-04-28T19:26:07.019233+00:00,gemini/gemini-3.1-pro-preview,false,42,330.6619,0.8313,0.001953125,1.0,29,399.5876,1.3758,0.001953125,1.0,43,385.7134,2.8506,0.001953125,1.0,116,1.1749,0.9767,1.271,1.7486,1.3329,3.7995
2026-04-28T19:26:16.212711+00:00,gemini/gemini-3.1-pro-preview,true,42,330.6619,0.8313,0.001953125,1.0,29,399.5876,1.3758,0.001953125,1.0,43,385.7134,2.8506,0.001953125,1.0,116,1.1749,0.9767,1.271,1.7486,1.3329,3.7995
2026-04-28T19:28:07.653835+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,false,42,328.6504,0.8364,0.001953125,1.0,23,402.4237,1.3661,0.001953125,1.0,35,239.8669,4.5838,0.001953125,1.0,100,1.1597,0.97,1.2865,1.7575,0.8307,3.8077
2026-04-28T19:28:28.217219+00:00,vertex_ai/deepseek-ai/deepseek-v3.2-maas,true,42,338.6264,0.8117,0.001953125,1.0,17,404.6607,1.3586,0.001953125,1.0,22,239.9105,4.583,0.001953125,1.0,60,1.2184,0.989,1.2925,1.756,0.8388,3.8443
2026-04-28T19:36:33.369936+00:00,qwen3.6-plus,false,42,343.0759,0.8012,0.001953125,1.0,9,335.5771,1.6382,0.001953125,1.0,8,0.0,999999.0,1.0,0.0,8,1.2377,0.9917,1.0943,1.7927,0.0,0.0
2026-04-28T20:20:47.425047+00:00,qwen3.6-plus,false,42,,,,,,,,,,,,,,,,,,,,,
2026-04-28T20:21:08.275753+00:00,qwen3.6-plus,true,42,335.0862,0.8203,0.001953125,1.0,13,337.8871,1.627,0.001953125,1.0,16,197.3133,5.5724,0.001953125,1.0,27,1.1968,0.9817,1.0864,1.7676,0.6838,3.8106
2026-04-29T04:05:22.363092+00:00,claude-opus-4-6,false,42,336.0694,0.8179,0.001953125,1.0,18,405.09,1.3571,0.001953125,1.0,24,267.6201,4.1085,0.001953125,1.0,56,1.1846,0.9689,1.3032,1.7686,0.9482,3.8955
2026-04-29T04:09:09.178754+00:00,claude-opus-4-6,false,42,332.3506,0.8271,0.001953125,1.0,24,400.5378,1.3725,0.001953125,1.0,33,269.486,4.08,0.001953125,1.0,74,1.1708,0.9684,1.2993,1.7833,0.9537,3.891
2026-04-29T04:11:55.844004+00:00,claude-opus-4-6,false,42,325.1792,0.8453,0.001953125,1.0,22,400.3418,1.3732,0.001953125,1.0,30,268.2133,4.0994,0.001953125,1.0,70,1.1527,0.9744,1.2936,1.7764,0.9452,3.8749
2026-04-29T04:12:03.283286+00:00,claude-opus-4-6,true,42,336.0694,0.8179,0.001953125,1.0,18,405.09,1.3571,0.001953125,1.0,24,267.6201,4.1085,0.001953125,1.0,56,1.1846,0.9689,1.3032,1.7686,0.9482,3.8955
