timestamp,model,is_final,seed,final_score_math,reuse_ratio_math,refresh_ratio_math,tokens_per_s_math,peak_memory_mb_math,n_examples_math,elapsed_math,final_score_humaneval,reuse_ratio_humaneval,refresh_ratio_humaneval,tokens_per_s_humaneval,peak_memory_mb_humaneval,n_examples_humaneval,elapsed_humaneval,final_score_lm-eval,reuse_ratio_lm-eval,refresh_ratio_lm-eval,tokens_per_s_lm-eval,peak_memory_mb_lm-eval,n_examples_lm-eval,elapsed_lm-eval
2026-05-04T01:38:35.699615+00:00,qwen3.6-plus,false,42,37.2,0.5097,0.4903,29.88,17420.3,500.0,4314,49.3902,0.5171,0.4829,22.68,17515.0,164.0,3748,84.1297,0.0,1.0,56.51,15498.0,1172.0,1354
2026-05-04T01:38:49.293682+00:00,qwen3.6-plus,true,42,37.2,0.5097,0.4903,29.88,17420.3,500.0,4314,49.3902,0.5171,0.4829,22.68,17515.0,164.0,3748,84.1297,0.0,1.0,56.51,15498.0,1172.0,1354
2026-05-04T01:48:26.466327+00:00,gemini/gemini-3.1-pro-preview,false,42,36.4,0.6761,0.3239,29.48,17414.4,500.0,4373,48.1707,0.6887,0.3113,23.0,17521.8,164.0,3677,83.7884,0.5343,0.4657,39.2,15852.6,1172.0,1951
2026-05-04T02:16:11.321174+00:00,claude-opus-4-6,false,42,35.0,0.5987,0.4013,29.81,17416.4,500.0,4325,43.2927,0.7794,0.2206,22.9,17513.9,164.0,3706,83.6177,0.6738,0.3262,37.82,15852.6,1172.0,2020
2026-05-04T02:30:21.968150+00:00,claude-opus-4-6,false,42,,,,,,,,,,,,,,,,,,,,,
2026-05-04T02:30:30.384709+00:00,claude-opus-4-6,true,42,35.0,0.5987,0.4013,29.81,17416.4,500.0,4325,43.2927,0.7794,0.2206,22.9,17513.9,164.0,3706,83.6177,0.6738,0.3262,37.82,15852.6,1172.0,2020
2026-05-04T03:24:24.378004+00:00,openai/gpt-5.4,false,42,35.8,0.6133,0.3867,29.46,17417.8,500.0,4368,40.2439,0.7249,0.2751,23.2,17508.4,164.0,3654,84.471,0.0,1.0,48.47,15852.6,1172.0,1584
2026-05-04T03:24:29.161006+00:00,openai/gpt-5.4,true,42,35.8,0.6133,0.3867,29.46,17417.8,500.0,4368,40.2439,0.7249,0.2751,23.2,17508.4,164.0,3654,84.471,0.0,1.0,48.47,15852.6,1172.0,1584
2026-05-04T04:41:19.803147+00:00,gemini/gemini-3.1-pro-preview,false,42,37.4,0.7003,0.2997,29.76,17415.4,500.0,4333,48.1707,0.6887,0.3113,23.17,17521.8,164.0,3661,84.0444,0.3924,0.6076,41.97,15852.6,1172.0,1827
2026-05-04T04:41:26.243431+00:00,gemini/gemini-3.1-pro-preview,true,42,37.4,0.7003,0.2997,29.76,17415.4,500.0,4333,48.1707,0.6887,0.3113,23.17,17521.8,164.0,3661,84.0444,0.3924,0.6076,41.97,15852.6,1172.0,1827
